Start Time,13:25:00,13:28:00,13:31:00,13:34:00,13:37:00,13:40:00,13:43:00,13:46:01,13:49:01,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00
Sample Temp (C),21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,22.0,22.1,22.2,22.3,22.4,22.5,22.6,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.2,23.2,23.3,23.3,23.4,23.4,23.4,23.4,23.5,23.5,23.5,23.6,23.6,23.6,23.6,23.7,23.7
Sample Pressure (kPa),81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.7,81.7,81.8,81.8,81.8,81.7,81.8,81.8,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7
Relative Humidity (%),39.8,39.8,39.8,39.8,39.7,39.7,39.7,39.6,39.5,39.4,39.3,39.2,39.2,39.2,39.2,39.1,39.0,38.9,38.8,38.6,38.5,38.3,38.1,37.9,37.8,37.6,37.5,37.3,37.1,37.0,36.9,36.7,36.6,36.4,36.3,36.2,36.1,36.0,35.9,35.8,35.7,35.6,35.6,35.5,35.4,35.4
Mean Free Path (m),8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29856e-008,8.30214e-008,8.30572e-008,8.30929e-008,8.31287e-008,8.31645e-008,8.32003e-008,8.32361e-008,8.33738e-008,8.33738e-008,8.33076e-008,8.33076e-008,8.33434e-008,8.34454e-008,8.33792e-008,8.33792e-008,8.35171e-008,8.35171e-008,8.35529e-008,8.35529e-008,8.35887e-008,8.35887e-008,8.35887e-008,8.35887e-008,8.36246e-008,8.36246e-008,8.36246e-008,8.36604e-008,8.36604e-008,8.36604e-008,8.36604e-008,8.36962e-008,8.36962e-008
Gas Viscosity (Pa*s),1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005
Diameter Midpoint (nm)
 16.8,125.598,66.276,99.414,132.552,149.121,149.120,158.736,99.414,165.690,158.736,165.690,108.018,191.874,16.573,99.190,49.743,16.540,0.000,0.000,0.000,0.000,37025.935,58071.743,60167.392,45205.344,33920.221,25098.318,9917.728,4021.248,2047.134,770.994,398.784,148.495,15060.067,44942.260,67994.940,59949.467,44628.388,33753.869,22168.554,8411.501,3757.435,1959.798,607.244,312.079,114.977
 17.5,47.168,123.840,92.880,139.320,170.280,92.880,145.817,123.840,77.400,223.216,216.720,123.839,186.488,61.934,46.335,15.491,0.000,0.000,15.460,15.463,0.000,36763.501,60282.008,61122.771,46819.704,34328.764,25666.532,10724.190,4930.159,1923.480,911.910,508.549,200.377,15141.078,47340.878,71552.686,63416.627,46080.433,36032.376,21936.263,8760.296,3936.700,1922.639,612.312,382.101,138.097
 18.1,106.922,145.026,87.015,188.533,174.031,145.026,174.030,197.522,203.036,130.523,72.512,174.033,150.430,29.012,43.410,14.512,0.000,0.000,0.000,0.000,0.000,36045.872,64192.824,63401.304,48658.795,36536.259,27130.987,10569.536,5057.699,2256.388,1009.687,358.627,259.902,16654.731,51716.985,71698.840,65270.762,48927.977,37599.296,23997.249,10046.474,4233.932,2144.259,791.937,432.632,300.114
 18.8,149.822,122.584,108.962,231.549,136.202,163.443,198.248,168.621,122.582,225.489,122.582,163.443,149.822,27.246,196.204,40.887,40.786,40.795,0.000,13.604,0.000,38478.223,68366.240,68321.031,51752.983,39775.838,30306.989,12376.378,5164.816,2474.662,1272.859,447.459,230.510,16273.204,53270.966,74619.340,69631.442,51631.061,40414.217,24219.281,10909.813,4302.635,2014.366,850.236,266.601,285.106
 19.5,192.359,115.414,179.533,141.062,205.181,230.828,185.234,179.533,179.533,113.832,153.885,320.595,141.062,25.653,109.554,12.832,38.401,12.803,12.806,0.000,0.000,40130.415,69939.462,72633.570,54847.764,43482.712,30722.056,13076.452,5297.048,2690.831,1210.224,472.318,191.480,17424.241,56140.733,77894.384,73418.418,54726.971,43010.051,27635.006,11175.426,4932.420,2220.526,965.653,397.127,337.578
 20.2,184.133,169.070,229.452,229.451,156.993,265.681,181.148,96.611,193.223,260.463,169.070,244.515,220.362,12.079,132.543,48.334,48.216,36.169,0.000,12.061,0.000,42421.722,73974.739,75294.102,57018.079,46272.770,30998.894,13136.363,5960.561,2752.005,1271.139,540.922,343.458,18267.418,56341.902,78656.856,74640.161,59393.399,44138.377,27792.576,12468.644,4870.557,2186.558,1104.840,586.371,220.618
 20.9,151.043,198.177,164.712,245.254,176.784,289.624,187.992,199.641,211.471,199.209,188.628,196.954,230.469,107.829,65.376,55.578,10.999,11.249,0.000,0.000,0.000,41453.247,76245.494,77133.032,60155.987,47777.098,34496.642,13983.968,6362.808,2735.014,1304.367,610.919,279.298,19895.014,55156.583,81591.902,77676.987,59054.340,48065.489,28870.721,12457.020,5413.032,2420.322,1175.169,560.636,330.101
 21.7,272.711,162.511,218.531,154.828,173.885,245.624,185.236,207.263,221.492,293.398,205.672,259.916,258.368,163.952,83.066,62.419,31.226,53.439,10.483,0.000,0.000,43361.207,78444.921,80008.089,61362.755,49057.284,35839.187,14747.251,6757.805,3058.852,1446.734,791.593,441.301,20987.604,57379.224,85301.766,77796.647,63390.467,49845.129,30321.361,12351.890,5929.401,2557.946,1310.375,494.019,446.559
 22.5,316.127,267.059,219.389,298.332,249.952,199.466,209.267,336.209,181.165,214.416,181.177,238.742,168.692,244.728,137.734,48.309,40.627,19.679,0.000,0.000,0.000,42471.916,83709.705,80633.946,66280.935,51703.325,36993.161,14811.450,6932.105,3194.653,1616.170,700.586,391.898,21618.059,58767.772,87580.019,80093.530,64684.172,53696.030,31318.698,13685.541,6213.780,2918.698,1408.951,664.071,437.337
 23.3,244.113,208.005,323.164,239.640,304.298,353.853,324.020,207.383,293.556,314.438,266.586,332.159,349.703,220.649,62.033,64.915,65.285,18.969,9.112,0.000,0.000,44629.809,83666.830,82516.867,67032.897,53783.973,38212.379,15925.772,7206.973,3470.030,1645.228,622.745,327.274,21944.784,63478.596,90404.275,84454.116,67800.903,54151.546,33999.805,14142.336,6617.157,3166.334,1499.536,610.143,362.864
 24.1,191.609,250.806,283.376,263.059,243.833,218.450,385.199,279.834,319.150,457.625,337.082,277.720,233.124,345.767,139.608,69.675,34.973,26.455,8.362,0.000,0.000,47814.656,87952.133,86469.342,70804.357,56515.695,39494.822,16970.033,7701.101,3669.267,1818.049,781.025,421.359,23147.700,64646.861,95755.292,86143.889,69741.024,57720.516,35326.121,15662.486,6897.030,3192.802,1673.988,757.991,401.796
 25.0,284.927,385.859,372.561,260.616,336.123,406.221,376.861,290.855,281.723,346.464,370.987,333.867,296.211,310.804,134.650,111.262,24.999,42.788,0.000,0.000,0.000,49209.945,91340.435,86829.482,74179.906,59802.953,39944.168,17240.582,8668.019,3935.579,1603.241,907.628,466.381,24100.844,67817.816,99274.902,89089.563,74848.497,60766.172,37037.504,15980.547,7132.052,3577.900,1754.326,778.124,416.889
 25.9,462.469,285.476,375.894,291.209,458.366,324.916,278.746,326.999,349.172,292.476,422.950,343.324,382.034,260.127,157.406,43.846,48.046,23.672,24.400,0.000,0.000,50698.985,93676.456,92283.578,76116.381,61974.337,42984.808,18748.115,8498.421,4122.011,1984.730,1026.341,406.611,24046.870,69554.728,103389.732,94491.952,76387.116,64175.644,39148.829,16697.431,7517.456,3520.506,1849.734,900.835,496.673
 26.9,305.535,429.928,492.783,261.842,372.131,483.746,357.033,373.997,341.278,354.895,328.958,333.065,249.021,339.430,183.972,58.189,52.838,22.722,14.981,0.000,0.000,53497.348,93872.895,95512.853,77447.997,63945.992,42577.383,19520.699,9898.509,4249.316,2072.636,1043.155,448.639,23291.504,72110.445,106072.202,97643.830,80400.307,65650.046,40768.899,17384.740,7940.121,4001.029,2028.976,945.644,503.126
 27.9,400.819,362.475,506.358,288.465,476.696,398.044,421.756,397.685,383.000,301.993,338.910,332.283,401.434,416.855,157.936,33.843,57.269,58.412,29.124,6.266,0.000,53817.790,98948.564,96777.007,80853.519,65843.086,46453.590,19796.483,9383.688,4529.500,2091.856,1044.177,523.524,23834.083,71134.498,106946.351,99383.968,82877.701,69857.757,40929.828,18695.505,8982.546,3990.883,1911.086,1032.723,524.129
 28.9,465.943,348.442,478.228,486.677,364.658,519.156,482.103,491.467,564.671,384.900,373.229,484.877,559.956,308.823,179.910,108.132,52.607,19.941,28.208,13.808,0.000,55826.478,101545.063,99470.040,83882.021,70661.115,47657.978,21462.391,9848.462,4558.455,2194.544,1154.711,602.172,24616.101,73524.952,110351.026,103248.384,86039.708,70378.543,44141.683,19432.604,10011.005,4765.620,2030.488,1006.848,527.048
 30.0,431.278,529.763,469.647,430.137,425.263,524.340,441.550,424.508,395.496,456.225,396.301,415.646,468.502,457.478,214.337,111.770,28.703,11.068,33.900,33.838,195.195,59473.483,103418.162,101934.089,87314.980,71899.882,50044.802,21504.585,10718.056,4959.178,2393.255,1245.926,696.995,25474.866,77043.308,112899.115,105111.789,89163.906,73907.704,45591.741,20495.562,9301.841,4661.894,2323.966,1187.404,672.866
 31.1,374.842,540.065,403.050,357.759,510.963,505.791,470.351,438.715,470.722,422.770,327.007,505.504,385.110,458.242,148.788,120.021,56.562,10.595,12.166,5.190,819.526,61195.147,107324.059,100895.606,90736.580,75075.353,53480.171,23074.535,10657.988,4899.754,2621.964,1237.596,551.027,26563.561,77442.214,115362.653,109064.574,91518.116,73184.583,46852.235,20197.859,10132.447,4981.539,2331.164,1160.403,582.196
 32.2,690.062,572.691,402.475,379.959,394.356,377.680,393.182,532.771,612.041,506.304,445.234,450.979,567.107,520.491,243.190,137.949,45.361,36.083,36.662,4.672,1200.192,61108.466,106734.147,105318.479,90464.867,75494.164,54141.459,24086.272,10948.560,5130.692,2416.348,1347.215,768.827,28169.824,79580.231,118934.536,113437.575,94267.950,79440.405,49489.982,20980.151,9884.043,5231.193,2411.600,1254.187,749.333
 33.4,498.936,464.550,412.903,481.850,468.794,465.639,444.732,639.413,510.034,577.304,429.010,513.209,588.343,462.932,235.039,109.668,50.641,8.756,21.498,16.876,1766.774,60843.211,110352.493,107738.322,93096.946,79325.203,55204.280,24316.769,11583.077,5211.451,2671.096,1511.086,777.165,29884.658,81887.621,124512.526,114544.197,95857.047,80439.705,52535.456,23354.400,10900.731,5324.660,2798.431,1519.485,667.044
 34.6,479.544,490.116,482.839,502.931,541.695,510.853,505.559,562.979,581.482,540.502,603.886,514.076,602.070,500.446,285.132,157.296,69.174,43.822,33.491,4.240,2304.852,61502.705,112479.870,110932.019,95801.174,80746.949,57523.199,24916.465,12343.903,5576.968,2908.006,1454.925,702.608,29649.472,84880.079,129013.760,115399.268,98516.029,84371.244,52122.058,24029.872,11719.931,5500.873,2632.600,1471.396,703.528
 35.9,489.228,441.366,532.688,411.696,541.235,544.390,457.364,496.729,502.387,613.218,440.799,556.765,724.798,507.006,194.139,101.068,45.679,35.947,31.455,4.457,2273.941,63271.323,114162.309,112409.696,97052.833,83374.369,58221.483,25828.198,12355.089,5598.132,2954.999,1640.467,827.650,30288.439,85744.591,127892.664,114646.390,100898.176,88613.005,54138.285,24606.896,11298.059,5437.042,2800.808,1558.490,949.181
 37.2,411.178,482.977,492.866,572.689,556.161,562.086,516.930,575.216,588.048,607.926,624.641,662.910,592.803,495.182,214.457,208.556,61.870,42.783,18.084,15.680,2724.504,65640.384,118025.216,114667.161,100325.663,86336.041,58326.120,26127.406,12771.459,5773.065,3303.738,1579.797,816.329,34664.245,88430.199,131428.724,119694.899,103562.750,90505.103,57290.506,25509.874,11715.079,5821.444,2817.308,1496.978,867.582
 38.5,480.374,583.234,609.601,593.401,635.149,581.364,548.052,577.486,541.264,616.301,738.495,673.151,741.625,606.159,290.356,172.613,89.495,35.727,29.172,44.267,2743.122,64780.225,117349.799,115228.156,102607.935,87594.874,59411.397,26901.355,13430.420,6197.180,3343.016,1611.451,847.902,38995.041,88036.469,134549.906,121978.994,107307.155,93617.451,57564.292,25780.164,11977.078,6100.226,3318.415,1668.318,894.811
 40.0,522.265,609.390,682.869,603.588,659.211,566.710,625.226,691.231,562.713,782.118,678.297,678.760,584.811,467.501,297.974,163.999,95.618,66.320,35.643,37.243,2991.555,65381.631,117693.374,118253.503,102517.768,89815.667,59964.321,28310.501,13716.361,6296.129,3235.763,1755.447,867.168,39940.259,86648.660,137807.745,125116.758,106579.419,96482.810,58675.841,26948.694,12752.641,5988.215,3073.555,1553.429,772.662
 41.4,536.667,684.511,564.953,443.057,598.891,652.285,681.041,651.227,608.581,672.633,643.194,712.112,666.856,646.737,271.797,165.221,135.913,44.808,20.590,17.439,3445.846,67515.445,118439.707,120148.149,105128.838,93090.876,60771.095,28940.979,13823.477,6526.538,3316.643,1755.509,858.849,38152.139,88808.934,139550.131,126508.301,109379.177,99578.418,59340.558,27495.339,12863.696,6114.499,3065.638,1804.399,864.521
 42.9,638.572,623.261,616.216,738.788,612.528,740.349,724.630,859.559,625.499,615.592,725.831,777.956,647.803,589.455,322.565,169.299,147.770,66.909,24.722,25.878,3292.301,66807.923,121762.663,121611.064,105113.459,94452.279,64529.004,28853.747,13871.243,6471.976,3287.121,1711.068,949.230,37890.260,91711.960,142304.009,126194.608,111813.838,101274.503,60126.966,28112.618,12701.071,6493.497,3269.825,1709.808,944.057
 44.5,680.960,770.720,705.862,626.458,701.354,611.986,750.171,937.656,723.549,715.455,765.865,794.763,754.926,679.865,352.735,163.727,73.080,59.630,24.829,31.126,3400.423,67535.661,124591.963,121057.421,105638.976,98128.202,65486.323,29371.508,14298.503,6525.293,3192.164,1586.451,869.916,37777.309,95318.664,142893.033,126490.738,113685.163,103242.490,60247.168,27996.855,13229.515,6626.767,3231.424,1712.619,924.623
 46.1,706.307,727.534,800.130,687.710,794.665,724.123,787.144,766.022,754.551,877.117,802.475,814.757,818.758,714.774,390.050,182.800,112.827,44.683,32.470,33.808,3411.260,66386.071,124421.312,122318.190,109211.976,100282.519,66762.809,30040.268,13771.648,6777.718,3238.817,1802.390,834.410,38505.291,94378.068,144133.684,128663.395,116435.457,105010.568,62024.518,27984.931,13726.798,6881.587,3480.112,1607.622,1102.821
 47.8,966.794,851.496,761.924,813.674,791.293,893.881,785.172,792.767,749.750,803.917,830.380,883.224,836.493,682.159,332.289,198.082,131.187,63.742,62.123,31.138,3930.608,65887.787,125596.054,124859.521,110886.655,100656.916,68980.370,30040.368,14110.418,6520.285,3638.707,1782.085,893.568,40910.579,94752.276,143853.431,130771.693,116988.066,105638.639,63532.551,29124.856,13857.045,6931.219,3440.647,1660.850,865.652
 49.6,932.780,986.861,1001.613,887.637,852.640,875.163,775.264,752.454,869.525,959.805,915.333,936.549,888.868,772.807,405.040,222.254,110.159,65.964,37.495,29.398,4933.948,68466.264,126502.015,125047.052,112583.628,103339.914,68335.414,31296.980,14886.596,7038.699,3540.156,1792.690,1081.852,40238.269,95166.258,146101.629,133471.625,118635.826,107335.575,65803.831,29203.754,13924.658,6844.247,3693.283,1730.815,877.017
 51.4,1072.718,915.696,843.988,893.442,989.464,892.228,816.365,977.205,795.415,881.725,1031.388,1045.988,951.949,830.724,446.421,205.518,79.049,55.657,41.738,20.984,5464.052,67484.204,127531.645,125586.667,114209.589,102479.378,69730.080,31204.785,14714.840,7190.447,3600.384,1805.591,835.929,40147.454,96126.578,145958.874,134371.886,121460.773,109073.803,66736.982,29313.221,13868.795,6913.524,3592.186,1881.424,932.374
 53.3,918.019,985.612,844.639,1008.471,842.867,914.010,921.776,930.180,903.694,987.196,1015.447,971.270,1075.616,945.125,462.327,243.269,141.454,102.377,63.197,12.400,5950.740,67371.980,127769.429,127722.136,112769.683,102810.872,71408.943,32043.527,14584.703,6764.934,3415.268,1730.842,962.438,40289.030,99014.868,145131.755,135268.218,120620.812,111124.796,66220.440,29557.890,14479.202,7235.132,3557.977,1806.701,853.280
 55.2,1068.201,866.343,933.777,1064.395,958.119,1033.356,1011.557,1040.931,1033.781,1055.244,1164.192,900.248,947.172,916.056,466.256,246.706,166.073,102.454,40.553,23.293,6517.791,68479.232,127199.930,128462.414,114017.458,104955.494,70874.412,31759.660,14580.548,7381.713,3427.934,1643.606,947.951,41044.743,98575.744,144379.314,134504.299,122002.961,110689.233,66527.268,30276.788,14192.607,7032.494,3550.276,1868.662,1030.687
 57.3,1031.168,1057.555,913.895,1048.757,876.103,1118.896,1042.302,1159.387,1023.144,957.267,1058.865,1022.772,944.017,808.376,420.321,222.296,158.092,67.880,39.698,17.876,6602.759,70362.628,126635.659,127988.362,115313.607,105802.898,70925.236,31984.982,14935.874,7106.488,3545.473,1792.638,949.757,41116.461,100359.749,144422.363,134736.861,122035.860,111215.280,67177.615,30673.308,14157.240,7410.811,3393.626,1772.250,950.609
 59.4,1058.282,1175.013,1120.795,1061.559,963.737,994.201,1089.331,1008.036,1122.969,1105.281,1006.300,974.290,1216.856,917.708,400.399,239.427,131.884,104.728,77.329,24.329,7689.528,71916.210,125539.725,125871.186,115838.264,105150.380,71400.744,32550.159,14513.013,6832.371,3471.245,1783.952,917.488,43018.432,98567.495,144363.077,136387.932,124134.446,111994.612,68236.348,30677.720,14226.433,7101.090,3479.469,1814.795,971.629
 61.5,1161.502,1123.662,1065.579,1041.495,1105.403,1146.518,987.418,981.523,995.225,1071.565,1101.409,1117.759,1180.207,908.875,410.838,246.297,129.451,90.121,57.067,46.722,7417.590,72183.643,126762.574,127302.628,115641.194,106309.598,71765.894,32771.886,15193.761,6937.784,3408.105,1846.617,955.437,43844.399,97834.410,146535.654,135801.237,123261.268,113082.325,68041.576,30256.013,14667.308,6983.005,3557.725,1715.260,1129.272
 63.8,1095.578,1059.164,941.514,1257.627,1138.231,1131.396,1068.813,1001.457,1064.617,1064.678,1073.465,1155.137,1153.281,857.649,441.229,263.577,100.725,77.937,30.782,15.954,8288.850,72536.717,128040.182,127113.362,117329.982,106144.290,72466.751,31852.161,15466.810,7037.331,3507.944,1709.468,918.653,43684.620,94403.857,146458.190,136562.600,124127.027,114907.570,67713.463,30108.058,14434.333,6747.287,3638.284,1781.044,1067.074
 66.1,1293.767,1092.529,1181.838,1111.324,1126.043,1181.169,1171.982,1142.053,1139.690,1145.429,1125.779,1111.832,1229.303,894.816,486.791,280.419,88.274,45.642,43.548,28.872,8704.794,74380.431,130425.545,125928.168,116661.600,107650.282,72687.213,32212.776,15406.510,7055.376,3349.176,1696.250,847.813,43029.798,92086.410,145403.688,137042.154,123573.490,114894.757,66423.040,29922.948,14893.674,7060.619,3228.880,1676.229,930.903
 68.5,1228.598,1106.388,1273.956,1187.663,1123.045,1224.602,1156.258,1255.141,1313.088,1236.264,1201.032,1355.426,1277.042,1003.518,464.466,210.139,144.386,73.243,38.020,30.250,8760.769,74192.966,130037.992,124859.512,113605.966,106935.419,71231.754,32198.696,14853.346,7247.291,3354.264,1849.201,875.515,43166.065,91434.743,145098.662,135534.230,124820.854,114837.697,65599.859,29837.861,14479.324,6814.093,3360.871,1695.286,879.087
 71.0,1167.558,1234.801,1097.732,1155.190,1188.897,1128.027,1183.986,1151.002,1124.041,1177.405,1268.870,1099.160,1242.023,906.594,537.969,256.511,145.920,63.818,54.630,55.096,8318.018,74153.097,127476.504,122758.013,111849.466,105475.062,69687.923,31168.107,14386.886,6242.163,3411.813,1693.898,917.892,42145.316,91985.363,140467.562,131700.851,121128.671,113609.961,64958.393,29659.484,14660.760,6711.347,3236.286,1895.116,964.371
 73.7,1150.585,1090.746,1183.205,1274.727,1213.860,1218.952,1158.438,1247.514,1092.256,1120.986,1294.941,1185.850,1256.040,985.809,501.105,265.279,133.910,74.258,45.998,33.676,9018.084,74811.640,123233.733,116288.528,109108.654,104115.218,67943.532,30607.814,14454.337,6382.937,3155.468,1520.856,870.161,41554.407,90170.781,139172.537,129213.478,119362.770,109974.680,63702.559,29676.931,14048.562,6750.924,3372.332,1726.958,901.182
 76.4,1102.704,1268.734,1124.818,1347.273,1162.940,1267.093,1103.460,1163.919,1090.026,1186.112,1259.629,1300.026,1254.256,975.609,428.183,256.999,147.460,54.393,34.861,36.789,9315.122,72307.593,123357.817,116341.335,111020.249,102134.408,67165.272,30729.997,13770.459,6478.153,3304.080,1681.276,877.014,41383.551,89390.568,136811.970,127131.278,118789.160,109560.958,63161.199,29282.695,14004.095,6542.144,3316.019,1616.654,877.545
