Start Time,13:25:00,13:28:00,13:31:01,13:34:00,13:37:01,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:01,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:01,15:40:00
Aerodynamic Diameter,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp
0.898,0.383992,0.371605,0.359219,0.260124,0.272511,0.371605,0.210576,0.210576,0.173416,0.284898,0.23535,0.19819,0.247737,0.19819,0.123868,0.0495474,0.0619342,0.0123868,0,0,116.684,447.908,711.315,700.551,681.846,649.492,403.774,171.013,77.2939,31.0662,14.1953,6.08194,13.6379,284.563,607.154,824.927,799.856,764.244,727.393,385.045,164.993,71.5464,32.0324,13.6751,6.404,3.1091
0.965,0.297284,0.309671,0.260124,0.222963,0.260124,0.346832,0.322058,0.322058,0.173416,0.222963,0.23535,0.322058,0.272511,0.247737,0.0495474,0.0619342,0.0123868,0,0.0371605,0,87.4759,339.164,544.662,539.125,521.338,498.534,307.516,128.65,57.0167,25.1081,9.89709,4.45927,11.3835,221.935,470.936,644.091,624.929,593.293,560.592,296.715,127.027,56.1372,24.0181,10.9128,4.28585,1.8828
1.037,0.260124,0.148642,0.136255,0.136255,0.260124,0.260124,0.222963,0.210576,0.185803,0.148642,0.0990948,0.210576,0.247737,0.272511,0.0990948,0.0123868,0.0247737,0,0.0123868,0,62.0829,244.653,395.921,386.494,377.576,360.792,222.517,92.7651,40.121,16.3383,7.03573,3.14626,8.68318,161.029,346.522,472.224,459.75,436.649,412.953,216.869,90.6098,38.8823,17.4407,7.07289,2.93568,1.63506
1.114,0.161029,0.19819,0.185803,0.123868,0.148642,0.173416,0.260124,0.123868,0.222963,0.123868,0.222963,0.148642,0.161029,0.123868,0.0495474,0.0247737,0.0123868,0,0,0,42.8709,171.942,278.035,270.43,264.199,251.156,150.352,62.5412,26.9414,11.0986,4.48404,1.89519,6.24297,116.808,249.223,338.062,325.997,306.451,290.558,151.181,63.2473,26.5079,11.3711,4.83087,1.99428,1.07766
1.197,0.0867079,0.161029,0.260124,0.185803,0.148642,0.111482,0.123868,0.111482,0.161029,0.123868,0.123868,0.161029,0.19819,0.161029,0.0619342,0.0247737,0,0,0.0123868,0,31.1282,118.493,193.371,186.583,180.514,171.768,104.062,43.0691,18.2706,7.3454,2.9233,1.18914,4.29824,81.9018,175.051,237.208,229.64,214.515,199.936,104.359,43.4159,18.8652,7.77894,3.28252,1.32539,0.891853
1.286,0.136255,0.0990948,0.0743211,0.0990948,0.210576,0.222963,0.136255,0.0990948,0.0867079,0.0619342,0.0619342,0.123868,0.161029,0.111482,0,0.0371605,0,0.0123868,0.0123868,0.0123868,20.2525,77.232,126.16,124.141,119.669,111.977,69.8494,28.2792,11.6684,4.97951,2.03144,0.978561,2.65079,56.3106,117.341,160.781,156.087,142.585,135.054,68.4993,29.0967,12.2878,5.83421,2.25441,1.00333,0.421153
1.382,0.148642,0.0619342,0.123868,0.0990948,0.161029,0.173416,0.19819,0.0990948,0.111482,0.0867079,0.0743211,0.0619342,0.148642,0.0743211,0.0371605,0.0371605,0,0,0,0,13.2168,52.6069,85.8285,82.7442,79.8456,74.6803,43.5398,18.0724,7.65507,3.04716,1.35017,0.4707,1.82087,38.3373,79.3006,110.565,103.542,96.0848,89.6932,45.4721,19.596,8.101,3.59219,1.64745,0.631729,0.334445
1.486,0.136255,0.0867079,0.148642,0.0990948,0.111482,0.210576,0.111482,0.0495474,0.0495474,0.0990948,0.0619342,0.123868,0.148642,0.0619342,0.0743211,0.0123868,0.0123868,0,0,0.0247737,7.27108,31.5493,53.0776,48.2716,47.1567,45.2368,26.9538,10.4669,4.50881,1.83325,1.06527,0.334445,1.32539,23.8695,49.8323,67.6322,63.5074,58.4535,54.403,27.9571,11.6313,4.8061,2.19247,0.879466,0.297284,0.19819
1.596,0.0990948,0.0619342,0.0990948,0.0743211,0.0495474,0.111482,0.111482,0.0619342,0.0619342,0.0495474,0.0743211,0.0743211,0.123868,0.0619342,0.0371605,0,0.0371605,0,0.0123868,0,4.2363,16.4497,28.304,27.4369,26.5202,24.848,13.8857,5.69795,2.26679,1.00333,0.322058,0.148642,0.767985,13.2415,27.0405,37.3092,35.1291,31.8342,30.3602,14.4802,5.75988,2.44021,0.854693,0.557408,0.19819,0.148642
1.715,0.0990948,0.0247737,0.0247737,0.0990948,0.123868,0.111482,0.0619342,0.0495474,0.0495474,0.0743211,0.0371605,0.0371605,0.0619342,0.0990948,0.0371605,0.0123868,0.0123868,0,0,0.0123868,2.70033,11.0367,18.7413,17.9733,16.5984,15.9914,9.31491,3.67889,1.54836,0.483087,0.322058,0.136255,0.359219,9.24059,18.3945,24.6746,23.2625,20.7727,18.6546,8.94331,3.7656,1.72177,0.681277,0.297284,0.136255,0.148642
