Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\VL_CU_APS_Collocation_20220622.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Date,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22
Start Time,13:25:00,13:28:00,13:31:01,13:34:00,13:37:01,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:01,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:01,15:40:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
0.835,3.19706e-006,2.66421e-006,2.22018e-006,1.86495e-006,2.93064e-006,2.30899e-006,2.66421e-006,1.86495e-006,2.22018e-006,1.50972e-006,2.04256e-006,1.68734e-006,2.30899e-006,1.86495e-006,7.99264e-007,2.66421e-007,1.77614e-007,1.77614e-007,0,0,0.00101986,0.00392643,0.00628293,0.00617964,0.00602743,0.00575523,0.00360113,0.00155066,0.000688344,0.000289866,0.000127083,5.54156e-005,0.000120689,0.00249983,0.0053056,0.00722393,0.00698211,0.00668158,0.00637662,0.00338453,0.00149187,0.000670583,0.000302211,0.000131879,5.90567e-005,2.69974e-005
0.898,3.41633e-006,3.30612e-006,3.19592e-006,2.31429e-006,2.42449e-006,3.30612e-006,1.87347e-006,1.87347e-006,1.54286e-006,2.53469e-006,2.09388e-006,1.76327e-006,2.20408e-006,1.76327e-006,1.10204e-006,4.40816e-007,5.51021e-007,1.10204e-007,0,0,0.00103812,0.00398498,0.00632847,0.0062327,0.0060663,0.00577844,0.00359232,0.00152148,0.000687674,0.000276392,0.000126294,5.41102e-005,0.000121335,0.00253172,0.00540176,0.00733926,0.00711621,0.00679937,0.00647152,0.00342569,0.00146792,0.000636539,0.000284988,0.000121665,5.69755e-005,2.76612e-005
0.965,3.28215e-006,3.41891e-006,2.87188e-006,2.46162e-006,2.87188e-006,3.82918e-006,3.55567e-006,3.55567e-006,1.91459e-006,2.46162e-006,2.59837e-006,3.55567e-006,3.00864e-006,2.73513e-006,5.47026e-007,6.83782e-007,1.36756e-007,0,4.10269e-007,0,0.000965774,0.00374453,0.00601332,0.00595219,0.0057558,0.00550404,0.00339511,0.00142035,0.00062949,0.000277205,0.000109268,4.92323e-005,0.000125679,0.00245026,0.00519934,0.00711106,0.0068995,0.00655022,0.00618919,0.00327586,0.00140244,0.00061978,0.000265171,0.000120482,4.73177e-005,2.0787e-005
1.037,3.56383e-006,2.03647e-006,1.86677e-006,1.86677e-006,3.56383e-006,3.56383e-006,3.05471e-006,2.88501e-006,2.54559e-006,2.03647e-006,1.35765e-006,2.88501e-006,3.39412e-006,3.73354e-006,1.35765e-006,1.69706e-007,3.39412e-007,0,1.69706e-007,0,0.000850567,0.00335187,0.00542432,0.00529517,0.00517298,0.00494303,0.0030486,0.00127093,0.000549678,0.000223842,9.63931e-005,4.31054e-005,0.000118964,0.00220618,0.00474753,0.00646971,0.00629882,0.00598231,0.00565767,0.00297122,0.0012414,0.000532708,0.000238946,9.69022e-005,4.02204e-005,2.24012e-005
1.114,2.73773e-006,3.36952e-006,3.15892e-006,2.10595e-006,2.52714e-006,2.94833e-006,4.42249e-006,2.10595e-006,3.79071e-006,2.10595e-006,3.79071e-006,2.52714e-006,2.73773e-006,2.10595e-006,8.42379e-007,4.2119e-007,2.10595e-007,0,0,0,0.000728869,0.00292327,0.00472701,0.00459771,0.00449178,0.00427002,0.0025562,0.00106329,0.000458044,0.000188693,7.62353e-005,3.2221e-005,0.00010614,0.00198591,0.00423717,0.00574755,0.00554244,0.00521012,0.00493992,0.00257031,0.0010753,0.000450673,0.000193326,8.2132e-005,3.39058e-005,1.83218e-005
1.197,1.82935e-006,3.39736e-006,5.48804e-006,3.92003e-006,3.13602e-006,2.35202e-006,2.61335e-006,2.35202e-006,3.39736e-006,2.61335e-006,2.61335e-006,3.39736e-006,4.18136e-006,3.39736e-006,1.30668e-006,5.2267e-007,0,0,2.61335e-007,0,0.000656735,0.00249993,0.0040797,0.00393649,0.00380844,0.00362393,0.00219548,0.000908662,0.000385469,0.000154972,6.16751e-005,2.50882e-005,9.06833e-005,0.00172795,0.00369319,0.00500457,0.00484489,0.0045258,0.00421821,0.00220175,0.00091598,0.000398013,0.000164118,6.92538e-005,2.79629e-005,1.88161e-005
1.286,3.56731e-006,2.59441e-006,1.9458e-006,2.59441e-006,5.51311e-006,5.83741e-006,3.56731e-006,2.59441e-006,2.2701e-006,1.6215e-006,1.6215e-006,3.24301e-006,4.21591e-006,2.91871e-006,0,9.72902e-007,0,3.24301e-007,3.24301e-007,3.24301e-007,0.000530232,0.00202201,0.003303,0.00325014,0.00313307,0.00293168,0.00182873,0.000740378,0.000305491,0.000130369,5.31853e-005,2.56198e-005,6.94003e-005,0.00147427,0.0030721,0.00420942,0.00408651,0.00373302,0.00353585,0.00179338,0.000761782,0.000321706,0.000152746,5.90227e-005,2.62684e-005,1.10262e-005
1.382,4.82924e-006,2.01218e-006,4.02437e-006,3.2195e-006,5.23168e-006,5.63412e-006,6.43899e-006,3.2195e-006,3.62193e-006,2.81706e-006,2.41462e-006,2.01218e-006,4.82924e-006,2.41462e-006,1.20731e-006,1.20731e-006,0,0,0,0,0.0004294,0.00170915,0.00278849,0.00268828,0.00259411,0.00242629,0.00141457,0.000587155,0.000248706,9.89995e-005,4.38656e-005,1.52926e-005,5.91582e-005,0.00124554,0.0025764,0.00359215,0.00336397,0.0031217,0.00291405,0.00147735,0.000636655,0.000263194,0.000116707,5.35241e-005,2.05243e-005,1.08658e-005
1.486,5.49339e-006,3.49579e-006,5.99279e-006,3.99519e-006,4.49459e-006,8.48978e-006,4.49459e-006,1.9976e-006,1.9976e-006,3.99519e-006,2.497e-006,4.99399e-006,5.99279e-006,2.497e-006,2.99639e-006,4.99399e-007,4.99399e-007,0,0,9.98798e-007,0.000293147,0.00127197,0.00213992,0.00194616,0.00190121,0.00182381,0.00108669,0.000421992,0.000181781,7.39111e-005,4.29483e-005,1.34838e-005,5.34357e-005,0.000962342,0.00200908,0.00272672,0.00256042,0.00235666,0.00219336,0.00112714,0.000468936,0.000193767,8.83936e-005,3.54573e-005,1.19856e-005,7.99038e-006
1.596,4.95779e-006,3.09862e-006,4.95779e-006,3.71834e-006,2.47889e-006,5.57751e-006,5.57751e-006,3.09862e-006,3.09862e-006,2.47889e-006,3.71834e-006,3.71834e-006,6.19723e-006,3.09862e-006,1.85917e-006,0,1.85917e-006,0,6.19723e-007,0,0.000211945,0.000822992,0.00141607,0.00137269,0.00132683,0.00124316,0.00069471,0.000285073,0.000113409,5.01976e-005,1.61128e-005,7.43668e-006,3.84228e-005,0.000662484,0.00135286,0.00186661,0.00175753,0.00159269,0.00151894,0.000724456,0.000288171,0.000122085,4.27609e-005,2.78875e-005,9.91557e-006,7.43668e-006
1.715,6.1523e-006,1.53808e-006,1.53808e-006,6.1523e-006,7.69038e-006,6.92134e-006,3.84519e-006,3.07615e-006,3.07615e-006,4.61423e-006,2.30711e-006,2.30711e-006,3.84519e-006,6.1523e-006,2.30711e-006,7.69038e-007,7.69038e-007,0,0,7.69038e-007,0.00016765,0.000685213,0.00116355,0.00111587,0.00103051,0.000992828,0.000578317,0.000228404,9.61297e-005,2.99925e-005,1.9995e-005,8.45942e-006,2.23021e-005,0.000573702,0.00114202,0.00153192,0.00144425,0.00128968,0.00115817,0.000555245,0.000233788,0.000106896,4.22971e-005,1.84569e-005,8.45942e-006,9.22846e-006
1.843,5.72597e-006,7.63463e-006,5.72597e-006,6.6803e-006,2.86298e-006,4.77164e-006,7.63463e-006,7.63463e-006,0,9.54328e-007,4.77164e-006,1.90866e-006,2.86298e-006,4.77164e-006,1.90866e-006,9.54328e-007,0,0,0,0,0.00012788,0.000536332,0.000973415,0.000907566,0.000856032,0.000773006,0.000429448,0.000168916,6.20313e-005,3.05385e-005,9.54328e-006,1.14519e-005,2.67212e-005,0.000422767,0.000877982,0.00127975,0.00115378,0.00106598,0.000898023,0.000471438,0.000178459,7.63463e-005,3.43558e-005,1.52693e-005,3.81731e-006,8.58895e-006
1.981,1.18426e-006,4.73705e-006,2.36852e-006,5.92131e-006,4.73705e-006,2.36852e-006,5.92131e-006,1.18426e-006,4.73705e-006,1.18426e-006,7.10557e-006,4.73705e-006,8.28983e-006,7.10557e-006,1.18426e-006,1.18426e-006,0,1.18426e-006,0,0,0.000100662,0.000374227,0.000695162,0.000685688,0.000628843,0.000575551,0.000315014,0.000123163,5.21075e-005,2.01325e-005,8.28983e-006,4.73705e-006,2.01325e-005,0.000316198,0.00063358,0.000892934,0.000838457,0.000775692,0.000720031,0.000324488,0.00011961,4.02649e-005,2.36852e-005,0,1.18426e-006,3.55279e-006
2.129,2.93919e-006,2.93919e-006,1.4696e-006,4.40879e-006,4.40879e-006,5.87838e-006,2.93919e-006,2.93919e-006,2.93919e-006,1.4696e-006,4.40879e-006,2.93919e-006,1.17568e-005,5.87838e-006,1.4696e-006,0,0,0,0,0,5.4375e-005,0.000277754,0.00050995,0.000462923,0.000411487,0.000390912,0.000230727,9.40541e-005,2.35135e-005,1.76351e-005,1.4696e-006,1.4696e-006,2.20439e-005,0.000224848,0.000464392,0.000684832,0.000531994,0.000526115,0.000505541,0.000216031,6.9071e-005,2.05743e-005,1.32264e-005,4.40879e-006,1.4696e-006,1.02872e-005
2.288,5.47103e-006,5.47103e-006,9.11838e-006,7.2947e-006,9.11838e-006,9.11838e-006,3.64735e-006,1.82368e-006,3.64735e-006,0,9.11838e-006,5.47103e-006,7.2947e-006,9.11838e-006,1.82368e-006,1.82368e-006,0,0,0,0,4.01209e-005,0.000173249,0.000324614,0.000304554,0.000311849,0.000264433,0.000153189,4.92393e-005,2.55315e-005,1.82368e-005,0,5.47103e-006,3.64735e-006,0.00010395,0.000299083,0.000377501,0.000421269,0.000328262,0.000264433,0.000138599,3.10025e-005,1.45894e-005,3.64735e-006,1.82368e-006,1.82368e-006,3.64735e-006
2.458,4.52614e-006,9.05228e-006,2.26307e-006,9.05228e-006,6.78921e-006,4.52614e-006,4.52614e-006,6.78921e-006,6.78921e-006,0,9.05228e-006,4.52614e-006,1.13153e-005,9.05228e-006,6.78921e-006,2.26307e-006,0,0,0,0,1.81046e-005,0.000149363,0.000246675,0.000214992,0.000205939,0.000192361,0.000106364,4.97875e-005,1.13153e-005,9.05228e-006,6.78921e-006,6.78921e-006,1.35784e-005,6.11029e-005,0.000214992,0.000300988,0.00025799,0.000205939,0.000185572,0.000124469,2.26307e-005,4.52614e-006,2.26307e-006,2.26307e-006,0,4.52614e-006
