Gas Viscosity (Pa*s),1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005
Diameter Midpoint (nm)
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.005,0.005,0.004,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.006,0.005,0.004,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,0.005,0.004,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.006,0.006,0.004,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.007,0.007,0.005,0.004,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.005,0.007,0.007,0.005,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.007,0.008,0.006,0.005,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.006,0.008,0.008,0.006,0.005,0.003,0.001,0.001,0.000,0.000,0.000,0.000
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.009,0.009,0.007,0.005,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.002,0.007,0.009,0.009,0.007,0.005,0.003,0.001,0.001,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.010,0.010,0.008,0.006,0.005,0.002,0.001,0.000,0.000,0.000,0.000,0.003,0.007,0.011,0.010,0.008,0.006,0.004,0.002,0.001,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.012,0.012,0.009,0.007,0.005,0.002,0.001,0.000,0.000,0.000,0.000,0.003,0.008,0.013,0.011,0.009,0.007,0.004,0.002,0.001,0.000,0.000,0.000,0.000
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.014,0.013,0.011,0.008,0.006,0.002,0.001,0.001,0.000,0.000,0.000,0.004,0.010,0.014,0.013,0.011,0.009,0.005,0.002,0.001,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.015,0.015,0.012,0.010,0.007,0.003,0.001,0.001,0.000,0.000,0.000,0.004,0.012,0.017,0.015,0.012,0.010,0.006,0.003,0.001,0.001,0.000,0.000,0.000
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.018,0.018,0.014,0.012,0.008,0.003,0.002,0.001,0.000,0.000,0.000,0.005,0.013,0.020,0.018,0.014,0.012,0.007,0.003,0.001,0.001,0.000,0.000,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.021,0.020,0.017,0.014,0.009,0.004,0.002,0.001,0.000,0.000,0.000,0.005,0.015,0.023,0.020,0.017,0.014,0.008,0.004,0.002,0.001,0.000,0.000,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.024,0.023,0.019,0.016,0.011,0.005,0.002,0.001,0.001,0.000,0.000,0.006,0.018,0.026,0.024,0.019,0.016,0.010,0.004,0.002,0.001,0.000,0.000,0.000
