Mean Free Path (m),8.35276e-008,8.35634e-008,8.35634e-008,8.35991e-008,8.35991e-008,8.36349e-008,8.35329e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37421e-008,8.37421e-008
Gas Viscosity (Pa*s),1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83913e-005,1.83913e-005
Diameter Midpoint (nm)
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.011,0.010,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.012,0.011,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.013,0.012,0.011,0.010,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.015,0.014,0.012,0.011,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.015,0.013,0.012,0.011,0.011,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.018,0.016,0.015,0.014,0.012,0.012,0.010,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.004,0.004
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.020,0.018,0.016,0.015,0.014,0.013,0.012,0.011,0.010,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.021,0.020,0.018,0.017,0.016,0.015,0.013,0.012,0.012,0.011,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.023,0.022,0.020,0.019,0.018,0.016,0.015,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.006
 33.4,0.000,0.000,0.000,0.000,0.000,0.001,0.028,0.026,0.025,0.022,0.021,0.019,0.018,0.017,0.015,0.014,0.013,0.013,0.011,0.011,0.010,0.010,0.009,0.009,0.008,0.008,0.007
 34.6,0.000,0.000,0.000,0.000,0.000,0.001,0.030,0.029,0.027,0.025,0.023,0.022,0.020,0.019,0.017,0.016,0.014,0.014,0.013,0.012,0.011,0.011,0.010,0.010,0.009,0.009,0.008
 35.9,0.000,0.000,0.000,0.000,0.000,0.001,0.033,0.031,0.030,0.027,0.025,0.023,0.022,0.020,0.019,0.017,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.011,0.011,0.010,0.009
 37.2,0.000,0.000,0.000,0.000,0.000,0.001,0.037,0.035,0.032,0.031,0.028,0.026,0.025,0.023,0.021,0.020,0.019,0.018,0.016,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.011
 38.5,0.000,0.000,0.000,0.000,0.000,0.002,0.040,0.038,0.036,0.033,0.031,0.029,0.027,0.026,0.024,0.023,0.021,0.020,0.018,0.017,0.016,0.016,0.015,0.014,0.013,0.013,0.012
 40.0,0.000,0.000,0.000,0.000,0.000,0.002,0.044,0.042,0.039,0.036,0.034,0.033,0.030,0.028,0.026,0.025,0.024,0.022,0.021,0.020,0.019,0.017,0.017,0.016,0.015,0.014,0.013
