Start Time,10:20:00,10:23:00,10:26:00,10:29:00,10:32:01,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:52:59,10:55:59,10:58:59,11:01:59,11:04:59,11:07:59,11:11:00,11:14:00,11:17:00,11:20:00,11:23:00,11:25:59,11:29:00,11:32:00,11:35:00
Sample Temp (C),22.5,22.6,22.7,22.7,22.8,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.1,23.1,23.2,23.2,23.3,23.3,23.3,23.4,23.4,23.4,23.5,23.5,23.5,23.6
Sample Pressure (kPa),82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.1,82.2,82.1,82.2,82.1,82.1,82.1,82.1
Relative Humidity (%),52.8,52.7,52.6,52.4,52.3,52.2,52.1,52.1,52.0,51.9,51.8,51.8,51.7,51.6,51.6,51.5,51.5,51.4,51.4,51.3,51.3,51.2,51.1,51.1,51.0,51.0
Mean Free Path (m),8.27598e-008,8.27954e-008,8.28310e-008,8.28310e-008,8.28666e-008,8.29022e-008,8.29022e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29735e-008,8.29735e-008,8.30091e-008,8.30091e-008,8.30447e-008,8.30447e-008,8.31458e-008,8.30803e-008,8.31815e-008,8.30803e-008,8.32171e-008,8.32171e-008,8.32171e-008,8.32528e-008
Gas Viscosity (Pa*s),1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005
Diameter Midpoint (nm)
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.013,0.011,0.010,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.014,0.012,0.011,0.010,0.010,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.015,0.014,0.012,0.011,0.011,0.010,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.003
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.017,0.015,0.014,0.013,0.012,0.010,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.019,0.017,0.015,0.014,0.013,0.012,0.011,0.010,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.021,0.018,0.017,0.016,0.014,0.013,0.012,0.011,0.011,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005
 31.1,0.000,0.000,0.000,0.000,0.000,0.001,0.024,0.023,0.021,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.007,0.007,0.007,0.006,0.006
 32.2,0.000,0.000,0.000,0.000,0.000,0.001,0.026,0.025,0.022,0.020,0.019,0.018,0.016,0.015,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.008,0.007,0.007,0.007
 33.4,0.000,0.000,0.000,0.000,0.000,0.001,0.029,0.027,0.024,0.023,0.022,0.020,0.018,0.017,0.015,0.015,0.014,0.012,0.012,0.011,0.011,0.010,0.009,0.009,0.008,0.007
 34.6,0.000,0.000,0.000,0.000,0.000,0.002,0.031,0.030,0.028,0.025,0.023,0.021,0.020,0.019,0.017,0.017,0.015,0.014,0.013,0.012,0.012,0.011,0.010,0.009,0.009,0.008
 35.9,0.000,0.000,0.000,0.000,0.000,0.002,0.035,0.033,0.030,0.028,0.026,0.024,0.023,0.021,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.010
 37.2,0.000,0.000,0.000,0.000,0.000,0.002,0.038,0.036,0.034,0.031,0.029,0.027,0.025,0.023,0.021,0.021,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.012,0.011
 38.5,0.000,0.000,0.000,0.000,0.000,0.003,0.041,0.039,0.036,0.034,0.032,0.029,0.027,0.025,0.024,0.023,0.021,0.021,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.013
 40.0,0.000,0.000,0.000,0.000,0.000,0.003,0.045,0.042,0.041,0.037,0.035,0.033,0.031,0.029,0.026,0.026,0.023,0.022,0.021,0.019,0.019,0.018,0.017,0.016,0.014,0.014
 41.4,0.000,0.000,0.000,0.000,0.000,0.003,0.049,0.047,0.044,0.041,0.039,0.036,0.034,0.032,0.029,0.027,0.026,0.025,0.024,0.022,0.021,0.020,0.019,0.018,0.017,0.016
 42.9,0.000,0.000,0.000,0.000,0.000,0.003,0.054,0.051,0.048,0.045,0.042,0.039,0.037,0.035,0.033,0.031,0.028,0.026,0.026,0.025,0.024,0.022,0.021,0.020,0.019,0.018
 44.5,0.000,0.000,0.000,0.000,0.000,0.004,0.058,0.055,0.052,0.048,0.046,0.044,0.041,0.038,0.035,0.033,0.031,0.030,0.029,0.028,0.026,0.024,0.023,0.022,0.021,0.019
 46.1,0.000,0.000,0.000,0.000,0.000,0.005,0.064,0.060,0.057,0.054,0.050,0.048,0.045,0.043,0.041,0.037,0.035,0.033,0.032,0.031,0.030,0.027,0.027,0.025,0.023,0.022
 47.8,0.000,0.000,0.000,0.000,0.000,0.006,0.069,0.066,0.062,0.059,0.055,0.052,0.050,0.047,0.043,0.043,0.038,0.037,0.036,0.034,0.032,0.030,0.030,0.027,0.026,0.025
 49.6,0.000,0.000,0.000,0.000,0.000,0.009,0.076,0.073,0.067,0.064,0.060,0.058,0.054,0.051,0.047,0.045,0.044,0.041,0.041,0.039,0.036,0.034,0.032,0.031,0.029,0.028
 51.4,0.000,0.000,0.000,0.000,0.000,0.011,0.081,0.080,0.075,0.071,0.067,0.064,0.058,0.058,0.052,0.051,0.048,0.046,0.043,0.041,0.040,0.038,0.036,0.035,0.033,0.032
 53.3,0.000,0.000,0.000,0.000,0.000,0.013,0.087,0.087,0.080,0.078,0.073,0.069,0.065,0.062,0.059,0.055,0.053,0.051,0.049,0.047,0.045,0.042,0.040,0.038,0.036,0.035
 55.2,0.000,0.000,0.000,0.000,0.000,0.016,0.095,0.094,0.088,0.083,0.078,0.076,0.071,0.068,0.065,0.062,0.058,0.056,0.053,0.052,0.050,0.046,0.045,0.042,0.040,0.038
 57.3,0.000,0.000,0.000,0.000,0.000,0.018,0.104,0.101,0.095,0.090,0.087,0.081,0.077,0.075,0.071,0.067,0.064,0.062,0.058,0.055,0.054,0.051,0.049,0.047,0.045,0.044
 59.4,0.000,0.000,0.000,0.000,0.000,0.022,0.115,0.111,0.106,0.100,0.095,0.089,0.087,0.083,0.078,0.076,0.071,0.069,0.064,0.062,0.058,0.056,0.055,0.051,0.050,0.047
 61.5,0.000,0.000,0.000,0.000,0.000,0.024,0.126,0.119,0.111,0.109,0.106,0.098,0.094,0.091,0.084,0.080,0.078,0.073,0.071,0.069,0.064,0.063,0.058,0.057,0.056,0.053
