Start Time,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00
Sample Temp (C),21.8,21.7,21.8,21.9,22.0,22.1,22.2,22.3,22.4,22.4,22.5,22.6,22.6,22.7,22.7,22.8,22.8,22.8,22.8,22.9,22.9,22.9,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.1
Sample Pressure (kPa),81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.2,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.2,81.3,81.3,81.2,81.2,81.2,81.2,81.2,81.2,81.2
Relative Humidity (%),43.1,42.6,42.2,41.9,41.8,41.6,41.5,41.4,41.3,41.3,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.3,41.3,41.3,41.4,41.4,41.4,41.5,41.6,41.6,41.6,41.7,41.7
Mean Free Path (m),8.34240e-008,8.33880e-008,8.34240e-008,8.34600e-008,8.34960e-008,8.35320e-008,8.35680e-008,8.36040e-008,8.36400e-008,8.36400e-008,8.36760e-008,8.37120e-008,8.37120e-008,8.37480e-008,8.38511e-008,8.37840e-008,8.37840e-008,8.37840e-008,8.37840e-008,8.38200e-008,8.38200e-008,8.38200e-008,8.38200e-008,8.39232e-008,8.38560e-008,8.38560e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39953e-008
Gas Viscosity (Pa*s),1.82672e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005
Diameter Midpoint (nm)
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.016,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.018,0.016,0.015,0.013,0.013,0.011,0.011,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.020,0.018,0.016,0.015,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.008,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.005
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.022,0.020,0.018,0.017,0.016,0.015,0.014,0.012,0.011,0.011,0.010,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.025,0.024,0.022,0.020,0.019,0.018,0.016,0.015,0.014,0.013,0.012,0.012,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.030,0.027,0.025,0.024,0.021,0.020,0.018,0.017,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.031,0.030,0.028,0.026,0.024,0.021,0.021,0.019,0.018,0.016,0.015,0.015,0.013,0.013,0.012,0.011,0.011,0.010,0.009,0.009,0.009,0.008
 38.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.035,0.032,0.030,0.028,0.027,0.024,0.023,0.021,0.019,0.019,0.017,0.016,0.015,0.015,0.014,0.012,0.012,0.011,0.010,0.010,0.009,0.009
 40.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.039,0.036,0.034,0.031,0.028,0.027,0.025,0.023,0.022,0.021,0.018,0.019,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.010
 41.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.041,0.039,0.038,0.035,0.031,0.030,0.028,0.027,0.024,0.023,0.021,0.020,0.019,0.018,0.016,0.016,0.016,0.014,0.014,0.012,0.012,0.011
 42.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.046,0.043,0.041,0.038,0.034,0.032,0.030,0.029,0.027,0.025,0.024,0.022,0.022,0.020,0.018,0.017,0.017,0.016,0.015,0.015,0.014,0.013
 44.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.052,0.047,0.046,0.041,0.038,0.036,0.034,0.032,0.030,0.029,0.026,0.025,0.024,0.022,0.021,0.020,0.019,0.018,0.017,0.016,0.016,0.015
 46.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.057,0.051,0.050,0.046,0.042,0.041,0.038,0.036,0.032,0.032,0.030,0.028,0.027,0.025,0.024,0.022,0.022,0.020,0.020,0.018,0.017,0.017
 47.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.061,0.057,0.054,0.051,0.047,0.043,0.042,0.041,0.037,0.036,0.033,0.031,0.029,0.028,0.026,0.025,0.024,0.023,0.022,0.021,0.020,0.019
 49.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.068,0.062,0.061,0.057,0.053,0.050,0.045,0.044,0.041,0.038,0.037,0.035,0.035,0.032,0.031,0.028,0.027,0.025,0.024,0.024,0.022,0.021
 51.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.073,0.068,0.065,0.061,0.058,0.055,0.051,0.050,0.046,0.045,0.040,0.038,0.038,0.035,0.033,0.032,0.031,0.029,0.028,0.026,0.026,0.025
 53.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.079,0.073,0.070,0.067,0.064,0.060,0.055,0.053,0.051,0.048,0.044,0.043,0.041,0.039,0.037,0.036,0.034,0.032,0.032,0.029,0.029,0.027
 55.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.087,0.085,0.080,0.074,0.070,0.066,0.061,0.059,0.056,0.054,0.051,0.048,0.046,0.044,0.042,0.039,0.039,0.036,0.035,0.032,0.032,0.031
 57.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.096,0.088,0.086,0.082,0.079,0.073,0.069,0.065,0.060,0.058,0.055,0.053,0.050,0.048,0.046,0.043,0.044,0.040,0.038,0.036,0.035,0.035
 59.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.106,0.099,0.094,0.088,0.085,0.080,0.074,0.073,0.067,0.066,0.061,0.060,0.058,0.053,0.049,0.050,0.047,0.044,0.042,0.040,0.038,0.037
 61.5,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.113,0.109,0.103,0.098,0.092,0.086,0.084,0.079,0.075,0.070,0.068,0.066,0.061,0.061,0.057,0.054,0.052,0.050,0.047,0.045,0.043,0.042
 63.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.122,0.118,0.114,0.103,0.104,0.094,0.091,0.085,0.080,0.080,0.076,0.068,0.070,0.067,0.064,0.058,0.057,0.056,0.054,0.049,0.048,0.047
 66.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.131,0.130,0.122,0.114,0.107,0.104,0.097,0.095,0.088,0.085,0.084,0.079,0.079,0.071,0.070,0.068,0.063,0.062,0.058,0.057,0.053,0.052
 68.5,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.144,0.140,0.133,0.125,0.121,0.113,0.110,0.107,0.099,0.096,0.090,0.086,0.083,0.082,0.077,0.073,0.073,0.068,0.066,0.063,0.062,0.058
 71.0,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.153,0.148,0.141,0.133,0.130,0.123,0.117,0.110,0.107,0.105,0.102,0.093,0.090,0.084,0.083,0.080,0.076,0.075,0.070,0.068,0.067,0.064
