Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220711\VL_CU_SMPS_CADR_Avery2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022
Start Time,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00
Sample Temp (C),23.4,23.5,23.5,23.6,23.6,23.7,23.7,23.7,23.7,23.8,23.8,23.8,23.8,23.8,23.8,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,24.0,24.0,24.0
Sample Pressure (kPa),82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
Relative Humidity (%),50.2,50.1,50.1,50.0,50.0,50.0,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.8,49.9,49.8,49.9,49.9,49.9,49.9,49.9,49.9,49.9
Mean Free Path (m),8.31815e-008,8.32171e-008,8.32171e-008,8.32528e-008,8.32528e-008,8.32885e-008,8.32885e-008,8.32885e-008,8.32885e-008,8.33241e-008,8.34257e-008,8.34257e-008,8.34257e-008,8.34257e-008,8.34257e-008,8.34615e-008,8.34615e-008,8.34615e-008,8.34615e-008,8.34615e-008,8.34615e-008,8.34615e-008,8.34615e-008,8.34615e-008,8.34972e-008,8.34972e-008,8.34972e-008
Gas Viscosity (Pa*s),1.83436e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005,1.83579e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.006,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.007,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.008,0.007,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.009,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.010,0.009,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.011,0.010,0.009,0.008,0.007,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.012,0.011,0.010,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.014,0.012,0.011,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.015,0.014,0.012,0.011,0.010,0.009,0.009,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.003
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.017,0.015,0.013,0.012,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.018,0.016,0.015,0.014,0.013,0.011,0.011,0.010,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.020,0.018,0.017,0.016,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.022,0.020,0.018,0.018,0.016,0.014,0.013,0.012,0.012,0.011,0.010,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.005,0.005
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.024,0.022,0.020,0.019,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.006
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.027,0.024,0.023,0.021,0.019,0.018,0.017,0.015,0.015,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.008,0.007,0.007
 34.6,0.000,0.000,0.000,0.000,0.000,0.001,0.030,0.029,0.027,0.025,0.023,0.022,0.019,0.019,0.017,0.016,0.016,0.014,0.013,0.013,0.011,0.011,0.010,0.010,0.009,0.008,0.008
 35.9,0.000,0.000,0.000,0.000,0.000,0.001,0.033,0.032,0.030,0.027,0.025,0.024,0.022,0.021,0.019,0.018,0.017,0.015,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.010,0.009
 37.2,0.000,0.000,0.000,0.000,0.000,0.001,0.035,0.035,0.032,0.030,0.029,0.026,0.023,0.023,0.022,0.020,0.019,0.018,0.018,0.016,0.015,0.014,0.014,0.013,0.012,0.011,0.010
 38.5,0.000,0.000,0.000,0.000,0.000,0.001,0.039,0.039,0.035,0.034,0.030,0.030,0.027,0.025,0.024,0.023,0.021,0.020,0.019,0.018,0.016,0.016,0.015,0.014,0.013,0.012,0.012
 40.0,0.000,0.000,0.000,0.000,0.000,0.001,0.044,0.041,0.039,0.036,0.034,0.032,0.030,0.028,0.026,0.025,0.023,0.022,0.021,0.020,0.019,0.018,0.017,0.016,0.015,0.014,0.013
 41.4,0.000,0.000,0.000,0.000,0.000,0.002,0.048,0.045,0.042,0.041,0.038,0.036,0.033,0.031,0.030,0.027,0.026,0.025,0.024,0.023,0.021,0.020,0.018,0.018,0.017,0.017,0.015
 42.9,0.000,0.000,0.000,0.000,0.000,0.003,0.053,0.050,0.048,0.044,0.041,0.039,0.038,0.034,0.033,0.031,0.030,0.028,0.027,0.025,0.024,0.022,0.021,0.020,0.019,0.017,0.017
