Start Time,10:10:01,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:01,11:19:01,11:22:00
Sample Temp (C),21.6,21.7,21.8,21.9,22.0,22.1,22.2,22.2,22.3,22.3,22.4,22.4,22.4,22.5,22.5,22.5,22.6,22.6,22.6,22.7,22.7,22.7,22.7,22.8,22.8
Sample Pressure (kPa),81.4,81.4,81.4,81.4,81.3,81.4,81.3,81.4,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),55.7,56.0,56.3,56.4,56.4,56.4,56.4,56.2,56.1,56.0,55.9,55.7,55.6,55.4,55.3,55.2,55.0,54.9,54.8,54.6,54.5,54.4,54.3,54.2,54.1
Mean Free Path (m),8.32496e-008,8.32856e-008,8.33215e-008,8.33575e-008,8.34960e-008,8.34294e-008,8.35680e-008,8.34653e-008,8.36040e-008,8.35013e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36760e-008,8.36760e-008,8.36760e-008,8.37120e-008,8.37120e-008,8.37120e-008,8.37480e-008,8.37480e-008,8.37480e-008,8.37480e-008,8.37840e-008,8.37840e-008
Gas Viscosity (Pa*s),1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005
Diameter Midpoint (nm)
 25.9,0.000,0.000,0.000,0.000,0.000,0.001,0.019,0.009,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.002,0.022,0.011,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.002,0.026,0.013,0.007,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.003,0.031,0.017,0.009,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 30.0,0.000,0.000,0.000,0.000,0.000,0.003,0.037,0.020,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.004,0.043,0.025,0.014,0.009,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 32.2,0.000,0.000,0.000,0.000,0.000,0.004,0.051,0.029,0.018,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.006,0.061,0.036,0.021,0.014,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 34.6,0.000,0.000,0.000,0.000,0.000,0.008,0.071,0.042,0.027,0.018,0.012,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 35.9,0.000,0.000,0.000,0.000,0.000,0.010,0.084,0.052,0.032,0.022,0.016,0.011,0.007,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000
 37.2,0.000,0.000,0.000,0.000,0.000,0.012,0.099,0.062,0.040,0.028,0.020,0.014,0.010,0.007,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
 38.5,0.000,0.000,0.000,0.000,0.000,0.016,0.115,0.075,0.050,0.034,0.026,0.018,0.013,0.009,0.007,0.006,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
 40.0,0.000,0.000,0.000,0.000,0.000,0.019,0.135,0.091,0.061,0.042,0.032,0.023,0.016,0.013,0.009,0.007,0.006,0.005,0.004,0.003,0.002,0.002,0.002,0.001,0.001
 41.4,0.000,0.000,0.000,0.000,0.000,0.026,0.162,0.109,0.075,0.053,0.039,0.029,0.022,0.016,0.012,0.010,0.008,0.006,0.005,0.004,0.004,0.003,0.002,0.002,0.001
 42.9,0.000,0.000,0.000,0.000,0.000,0.030,0.192,0.132,0.093,0.066,0.050,0.038,0.028,0.022,0.016,0.014,0.011,0.008,0.007,0.006,0.005,0.004,0.003,0.003,0.002
 44.5,0.000,0.000,0.000,0.000,0.000,0.038,0.224,0.158,0.114,0.083,0.061,0.047,0.037,0.028,0.021,0.018,0.014,0.012,0.009,0.008,0.007,0.006,0.005,0.004,0.003
 46.1,0.000,0.000,0.000,0.000,0.000,0.051,0.261,0.192,0.137,0.102,0.079,0.059,0.048,0.036,0.029,0.023,0.020,0.016,0.013,0.011,0.010,0.008,0.007,0.005,0.005
