Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00
Sample Temp (C),22.2,22.3,22.4,22.4,22.5,22.5,22.6,22.6,22.6,22.7,22.7,22.7
Sample Pressure (kPa),81.6,81.6,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),53.1,52.9,52.7,52.5,52.3,52.2,52.0,51.8,51.7,51.5,51.3,51.1
Mean Free Path (m),8.32607e-008,8.32966e-008,8.34347e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35065e-008,8.35065e-008,8.35424e-008,8.35424e-008,8.35424e-008
Gas Viscosity (Pa*s),1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005
Diameter Midpoint (nm)
 61.5,0.001,0.000,0.000,0.000,0.000,0.012,0.099,0.000,0.125,0.119,0.111,0.107
 63.8,0.001,0.001,0.000,0.000,0.000,0.016,0.119,0.000,0.150,0.143,0.135,0.128
 66.1,0.001,0.001,0.000,0.000,0.000,0.020,0.140,0.000,0.180,0.174,0.164,0.153
 68.5,0.001,0.001,0.000,0.000,0.000,0.027,0.166,0.000,0.213,0.210,0.198,0.189
 71.0,0.002,0.001,0.000,0.000,0.000,0.033,0.183,0.000,0.239,0.237,0.222,0.213
 73.7,0.001,0.001,0.000,0.000,0.000,0.039,0.205,0.000,0.278,0.263,0.253,0.243
 76.4,0.002,0.001,0.000,0.000,0.000,0.048,0.244,0.000,0.334,0.320,0.308,0.288
 79.1,0.002,0.001,0.000,0.000,0.000,0.060,0.283,0.000,0.389,0.380,0.364,0.349
 82.0,0.002,0.001,0.001,0.000,0.000,0.071,0.342,0.000,0.467,0.442,0.428,0.405
 85.1,0.002,0.001,0.001,0.000,0.000,0.077,0.384,0.102,0.551,0.527,0.495,0.475
 88.2,0.002,0.001,0.000,0.000,0.000,0.089,0.456,0.471,0.642,0.630,0.598,0.567
 91.4,0.003,0.001,0.001,0.000,0.000,0.107,0.529,0.652,0.760,0.735,0.712,0.663
 94.7,0.003,0.002,0.001,0.001,0.000,0.126,0.618,0.836,0.888,0.855,0.805,0.787
 98.2,0.003,0.002,0.001,0.000,0.001,0.147,0.718,1.017,1.056,0.990,0.954,0.943
101.8,0.004,0.002,0.001,0.001,0.001,0.182,0.857,1.196,1.232,1.167,1.138,1.095
105.5,0.004,0.003,0.001,0.001,0.000,0.202,0.983,1.443,1.408,1.390,1.314,1.267
109.4,0.005,0.002,0.001,0.001,0.001,0.244,1.136,1.679,1.648,1.603,1.540,1.477
113.4,0.005,0.003,0.002,0.001,0.000,0.275,1.317,1.958,1.909,1.880,1.779,1.724
117.6,0.006,0.003,0.002,0.001,0.000,0.313,1.519,2.318,2.224,2.144,2.054,1.976
121.9,0.006,0.004,0.001,0.001,0.000,0.375,1.681,2.685,2.573,2.498,2.380,2.301
126.3,0.007,0.003,0.002,0.001,0.001,0.507,1.975,3.038,2.938,2.866,2.757,2.644
131.0,0.007,0.004,0.002,0.001,0.001,0.652,2.274,3.540,3.401,3.317,3.176,3.039
135.8,0.007,0.003,0.001,0.001,0.001,0.782,2.666,3.992,3.970,3.791,3.648,3.491
140.7,0.009,0.004,0.002,0.001,0.001,0.878,2.991,4.541,4.440,4.342,4.173,3.985
145.9,0.007,0.004,0.003,0.002,0.001,1.051,3.376,5.178,5.062,4.930,4.737,4.514
151.2,0.009,0.004,0.002,0.001,0.001,1.161,3.851,5.808,5.742,5.627,5.271,5.167
156.8,0.011,0.006,0.003,0.001,0.001,1.261,4.181,6.517,6.369,6.243,5.884,5.818
162.5,0.013,0.004,0.004,0.002,0.001,1.474,4.762,7.396,7.141,7.012,6.708,6.488
168.5,0.012,0.007,0.002,0.001,0.002,1.633,5.316,8.141,8.099,7.800,7.421,7.242
174.7,0.013,0.005,0.003,0.002,0.001,1.806,5.873,9.047,8.855,8.509,8.129,8.155
181.1,0.012,0.005,0.004,0.002,0.001,2.002,6.522,9.859,9.711,9.429,9.129,8.981
187.7,0.011,0.007,0.004,0.003,0.002,2.305,7.273,10.962,10.676,10.434,10.105,9.831
194.6,0.009,0.005,0.005,0.002,0.002,2.482,7.802,11.781,11.608,11.314,10.884,10.688
201.7,0.010,0.010,0.004,0.002,0.002,2.747,8.645,12.794,12.539,12.277,11.965,11.532
209.1,0.017,0.010,0.006,0.003,0.001,2.953,9.198,13.756,13.422,13.220,12.914,12.629
216.7,0.016,0.007,0.004,0.002,0.002,3.227,9.942,15.029,14.411,14.085,13.743,13.469
224.7,0.014,0.006,0.007,0.002,0.002,3.402,10.837,15.998,15.514,15.066,14.588,14.169
232.9,0.017,0.008,0.004,0.002,0.001,3.663,11.394,16.675,16.182,16.106,15.522,15.079
241.4,0.020,0.010,0.003,0.005,0.002,3.871,12.208,17.672,17.336,16.831,16.416,15.900
250.3,0.013,0.008,0.003,0.003,0.001,4.026,12.799,18.588,18.235,17.454,17.232,16.696
259.5,0.011,0.012,0.002,0.003,0.002,4.201,13.178,19.112,18.845,18.338,17.967,17.199
269.0,0.013,0.007,0.005,0.002,0.001,4.392,13.648,19.658,19.210,18.780,18.409,17.764
278.8,0.013,0.006,0.006,0.005,0.000,4.603,13.901,19.903,19.900,19.269,18.887,18.052
289.0,0.010,0.006,0.001,0.004,0.002,4.885,14.006,20.308,20.022,19.473,19.069,18.616
299.6,0.013,0.007,0.003,0.001,0.001,4.801,14.190,20.565,19.961,19.677,19.239,18.431
310.6,0.009,0.005,0.000,0.002,0.001,4.980,14.075,20.631,20.138,19.454,19.142,18.595
322.0,0.019,0.008,0.004,0.001,0.000,5.055,14.209,20.236,19.932,19.506,18.605,18.340
