Sample #,1,2,3,4,5,6,7,8,9,10,11
Date,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022
Start Time,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00
Sample Temp (C),22.7,22.7,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.1,23.1
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),48.7,48.5,48.4,48.3,48.2,48.0,47.9,47.8,47.7,47.6,47.5
Mean Free Path (m),8.35424e-008,8.35424e-008,8.35784e-008,8.36143e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.36861e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005
Diameter Midpoint (nm)
 71.0,0.001,0.000,0.000,0.000,0.000,0.016,0.151,0.148,0.141,0.138,0.137
 73.7,0.001,0.000,0.000,0.000,0.000,0.020,0.173,0.166,0.159,0.156,0.153
 76.4,0.001,0.001,0.000,0.000,0.000,0.027,0.198,0.200,0.185,0.180,0.178
 79.1,0.001,0.001,0.000,0.000,0.000,0.037,0.234,0.225,0.217,0.209,0.209
 82.0,0.001,0.001,0.001,0.000,0.000,0.049,0.268,0.264,0.252,0.245,0.246
 85.1,0.001,0.001,0.000,0.000,0.000,0.058,0.308,0.310,0.295,0.289,0.285
 88.2,0.001,0.001,0.000,0.000,0.000,0.072,0.366,0.358,0.355,0.334,0.324
 91.4,0.002,0.000,0.000,0.000,0.000,0.092,0.427,0.423,0.410,0.399,0.387
 94.7,0.002,0.001,0.001,0.000,0.000,0.105,0.488,0.491,0.475,0.453,0.438
 98.2,0.002,0.001,0.001,0.001,0.001,0.116,0.566,0.571,0.564,0.529,0.515
101.8,0.004,0.001,0.001,0.000,0.001,0.136,0.665,0.667,0.631,0.613,0.598
105.5,0.003,0.002,0.001,0.001,0.000,0.168,0.777,0.757,0.729,0.702,0.684
109.4,0.004,0.002,0.001,0.001,0.000,0.197,0.890,0.875,0.845,0.823,0.808
113.4,0.004,0.001,0.001,0.001,0.000,0.229,1.017,1.010,0.977,0.945,0.930
117.6,0.004,0.002,0.001,0.001,0.001,0.276,1.166,1.188,1.138,1.082,1.047
121.9,0.004,0.003,0.002,0.001,0.001,0.326,1.355,1.323,1.271,1.243,1.182
126.3,0.005,0.003,0.002,0.001,0.001,0.363,1.551,1.506,1.476,1.408,1.370
131.0,0.005,0.003,0.002,0.001,0.001,0.451,1.717,1.697,1.661,1.618,1.572
135.8,0.006,0.003,0.002,0.001,0.001,0.536,2.011,1.935,1.878,1.844,1.756
140.7,0.007,0.003,0.002,0.001,0.001,0.619,2.256,2.166,2.115,2.079,1.984
145.9,0.007,0.004,0.002,0.002,0.000,0.720,2.538,2.435,2.359,2.332,2.218
151.2,0.006,0.004,0.002,0.002,0.001,0.827,2.833,2.747,2.649,2.610,2.499
156.8,0.007,0.005,0.003,0.001,0.001,0.934,3.130,3.060,3.012,2.908,2.791
162.5,0.007,0.003,0.002,0.001,0.001,1.051,3.530,3.420,3.254,3.195,3.047
168.5,0.009,0.006,0.003,0.002,0.001,1.213,3.885,3.783,3.688,3.522,3.444
174.7,0.009,0.003,0.003,0.002,0.001,1.378,4.320,4.101,4.040,3.905,3.754
181.1,0.008,0.007,0.004,0.002,0.002,1.517,4.731,4.475,4.455,4.303,4.153
187.7,0.009,0.005,0.003,0.001,0.002,1.707,5.177,4.969,4.814,4.684,4.525
194.6,0.009,0.005,0.003,0.004,0.001,1.923,5.603,5.358,5.149,4.981,4.842
201.7,0.006,0.006,0.003,0.002,0.000,2.096,6.010,5.816,5.615,5.343,5.190
209.1,0.010,0.006,0.002,0.003,0.002,2.313,6.434,6.188,6.048,5.701,5.630
216.7,0.009,0.009,0.005,0.001,0.002,2.599,6.894,6.694,6.398,6.057,6.022
224.7,0.008,0.008,0.004,0.002,0.004,2.944,7.172,6.918,6.634,6.450,6.301
232.9,0.013,0.004,0.003,0.004,0.002,3.145,7.696,7.332,7.103,6.823,6.450
241.4,0.010,0.005,0.003,0.004,0.004,3.401,7.914,7.753,7.415,7.146,6.947
250.3,0.009,0.007,0.004,0.003,0.001,3.619,8.182,7.882,7.653,7.301,7.094
259.5,0.011,0.008,0.007,0.002,0.001,3.777,8.470,8.299,8.069,7.532,7.456
269.0,0.015,0.008,0.006,0.001,0.002,3.768,8.766,8.363,8.051,7.723,7.533
278.8,0.007,0.009,0.005,0.002,0.002,3.884,8.744,8.514,8.146,7.975,7.590
289.0,0.015,0.003,0.002,0.003,0.002,3.989,8.998,8.705,8.163,7.910,7.569
299.6,0.010,0.010,0.004,0.002,0.003,3.970,9.017,8.261,8.073,7.833,7.443
