Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022
Start Time,10:10:00,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:01,10:31:01,10:34:01,10:37:01,10:40:01,10:43:00
Sample Temp (C),21.1,21.2,21.3,21.4,21.5,21.6,21.7,21.7,21.8,21.9,21.9,22.0
Sample Pressure (kPa),81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.5,81.6,81.5
Relative Humidity (%),56.6,56.6,56.5,56.3,56.1,55.9,55.7,55.4,55.2,54.9,54.7,54.4
Mean Free Path (m),8.28664e-008,8.29022e-008,8.29381e-008,8.29739e-008,8.30098e-008,8.30456e-008,8.30815e-008,8.30815e-008,8.31173e-008,8.32552e-008,8.31532e-008,8.32911e-008
Gas Viscosity (Pa*s),1.82337e-005,1.82384e-005,1.82432e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82719e-005,1.82767e-005
Diameter Midpoint (nm)
 61.5,0.002,0.002,0.002,0.002,0.002,0.015,0.038,0.039,0.036,0.037,0.035,0.037
 63.8,0.002,0.002,0.002,0.002,0.002,0.019,0.045,0.045,0.045,0.044,0.042,0.039
 66.1,0.002,0.002,0.002,0.002,0.002,0.023,0.053,0.053,0.052,0.050,0.048,0.049
 68.5,0.002,0.002,0.002,0.003,0.003,0.028,0.061,0.061,0.061,0.058,0.058,0.055
 71.0,0.003,0.003,0.003,0.003,0.002,0.031,0.068,0.070,0.070,0.066,0.066,0.064
 73.7,0.003,0.003,0.003,0.003,0.003,0.037,0.079,0.077,0.077,0.074,0.075,0.074
 76.4,0.004,0.004,0.003,0.003,0.003,0.047,0.092,0.094,0.087,0.087,0.087,0.082
 79.1,0.004,0.004,0.004,0.003,0.004,0.056,0.111,0.108,0.103,0.101,0.101,0.093
 82.0,0.004,0.005,0.004,0.004,0.005,0.070,0.126,0.123,0.120,0.120,0.115,0.106
 85.1,0.006,0.006,0.004,0.005,0.005,0.082,0.152,0.144,0.141,0.138,0.133,0.132
 88.2,0.007,0.006,0.006,0.005,0.005,0.098,0.174,0.165,0.169,0.164,0.152,0.150
 91.4,0.006,0.007,0.006,0.006,0.006,0.117,0.202,0.192,0.189,0.180,0.177,0.168
 94.7,0.007,0.007,0.007,0.007,0.006,0.144,0.235,0.228,0.220,0.208,0.205,0.204
 98.2,0.008,0.008,0.008,0.008,0.008,0.170,0.270,0.262,0.256,0.249,0.234,0.234
101.8,0.010,0.010,0.010,0.008,0.008,0.208,0.309,0.299,0.297,0.277,0.275,0.271
105.5,0.010,0.011,0.010,0.010,0.010,0.236,0.358,0.344,0.328,0.323,0.317,0.303
109.4,0.012,0.010,0.012,0.012,0.011,0.280,0.404,0.398,0.386,0.374,0.368,0.353
113.4,0.012,0.013,0.012,0.011,0.012,0.329,0.464,0.450,0.436,0.415,0.411,0.405
117.6,0.013,0.014,0.014,0.012,0.013,0.392,0.525,0.516,0.504,0.482,0.470,0.459
121.9,0.016,0.015,0.016,0.014,0.016,0.446,0.615,0.590,0.570,0.541,0.526,0.523
126.3,0.016,0.016,0.016,0.015,0.015,0.516,0.691,0.674,0.641,0.628,0.602,0.574
131.0,0.016,0.019,0.018,0.020,0.017,0.599,0.776,0.743,0.727,0.693,0.687,0.653
135.8,0.022,0.019,0.020,0.017,0.018,0.693,0.865,0.842,0.803,0.787,0.768,0.750
140.7,0.020,0.020,0.021,0.021,0.018,0.787,0.973,0.939,0.918,0.895,0.851,0.828
145.9,0.020,0.022,0.021,0.023,0.024,0.864,1.085,1.056,1.025,0.952,0.975,0.943
151.2,0.024,0.020,0.024,0.024,0.027,1.019,1.203,1.176,1.138,1.088,1.047,1.029
156.8,0.025,0.024,0.021,0.022,0.025,1.121,1.367,1.284,1.262,1.199,1.173,1.143
162.5,0.027,0.024,0.026,0.024,0.025,1.243,1.450,1.428,1.335,1.312,1.263,1.253
168.5,0.027,0.026,0.030,0.025,0.027,1.438,1.649,1.559,1.520,1.426,1.396,1.368
