Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_APS_CADR_Smoke_Background_Prelim2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:01,11:15:00,11:18:00,11:21:00,11:24:01,11:27:00,11:30:00,11:33:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
11.14,0,0,0,0,0,0,0,0.000252628,0,0.000252628,0,0
11.97,0,0,0,0,0,0,0,0,0,0,0,0
12.86,0,0,0,0,0,0,0,0.000389029,0,0,0,0.000389029
13.82,0,0,0,0,0,0,0,0,0,0,0,0
14.86,0,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0,0,0,0,0
17.15,0,0,0,0,0,0,0,0,0,0,0,0
18.43,0,0,0,0,0,0,0,0,0,0,0,0
19.81,0,0,0,0,0,0,0,0,0,0,0,0
Event 1,849,449,253,115,78,560259,1732229,2659256,2542257,2436404,2321858,2233075
Event 3,0,0,0,1,0,37074,250801,661006,573616,508683,448054,403726
Event 4,0,0,0,0,0,0,0,0,0,0,0,0
Dead Time,4,2,1,0,0,4029,12937,21708,20183,18975,17784,16862
Inlet Pressure,831.7,832.9,832,832.3,831.7,830.5,830.8,831.4,832,832,831.7,832
Total Flow,4.96,4.97,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96
Sheath Flow,3.99,4.01,3.98,3.98,3.99,3.97,3.97,3.99,3.98,3.96,3.97,3.98
Analog Input Voltage 0,0,0,0,0,0,0,0,0,0,0,0,0
Analog Input Voltage 1,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 1,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 2,0,0,0,0,0,0,0,0,0,0,0,0
Laser Power,75,75,75,75,75,75,75,75,75,75,75,75
Laser Current,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.7
Sheath Pump Voltage,2.79,2.776,2.769,2.777,2.769,2.756,2.758,2.77,2.782,2.779,2.778,2.777
Total Pump Voltage,2.881,2.874,2.88,2.878,2.876,2.886,2.891,2.882,2.884,2.881,2.885,2.882
Box Temperature,30.2,30.3,30.5,30.5,30.5,30.5,30.5,30.3,30.3,30.3,30.3,30.6
Avalanch Photo Diode Temperature,26.1,26.1,26.1,26.1,26.1,26.1,26.6,26.6,26.6,26.6,26.6,26.6
Avalanch Photo Diode Voltage,230,230,230,230,230,230,230,230,230,230,230,230
Status Flags,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 1000,0000 0000 0000 1000,0000 0000 0000 1000,0000 0000 0000 1000,0000 0000 0000 1000,0000 0000 0000 1000
Median(µm),0.798154,2.99562,0.711793,1.07571,0.690721,0.784239,0.856681,0.924745,0.893504,0.877966,0.862815,0.858806
Mean(µm),1.01049,2.2885,0.805629,1.25375,0.814869,1.27724,1.63854,1.9351,1.83113,1.78815,1.73813,1.75933
Geo. Mean(µm),0.906773,1.79879,0.766509,1.11025,0.768666,0.968273,1.13642,1.28178,1.22801,1.20481,1.18155,1.18477
Mode(µm),0.542469,3.05053,0.582942,2.12875,0.542469,0.582942,0.582942,0.626434,0.626434,0.582942,0.626434,0.582942
Geo. Std. Dev.,1.56633,2.12645,1.35901,1.64863,1.39233,1.86468,2.123,2.28863,2.23784,2.21816,2.19288,2.2126
Total Conc.(mg/m³),4.5431e-005,3.93642e-005,9.13187e-006,8.43324e-006,3.66778e-006,0.0383604,0.134161,0.252121,0.226677,0.208159,0.196806,0.185326
