Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_APS_CADR_Smoke_Background_Prelim.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22
Start Time,10:10:00,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
Digital Input Level 2,0,0,0,0,0,0,0,0,0,0,0,0
Laser Power,75,75,75,75,75,75,75,75,75,75,75,75
Laser Current,41.2,41.2,41.2,41.3,41.3,41.3,41.3,41.4,41.4,41.4,41.4,41.5
Sheath Pump Voltage,2.766,2.773,2.785,2.768,2.76,2.789,2.765,2.784,2.759,2.763,2.768,2.759
Total Pump Voltage,2.892,2.885,2.884,2.887,2.888,2.891,2.887,2.886,2.89,2.891,2.882,2.887
Box Temperature,29.1,29.2,29.2,29.4,29.5,29.4,29.5,29.6,29.6,29.7,30,30
Avalanch Photo Diode Temperature,24.6,24.6,24.6,25.1,25.1,25.1,25.1,25.1,25.6,25.6,25.6,25.6
Avalanch Photo Diode Voltage,229,229,229,229,229,229,229,229,229,229,229,229
Status Flags,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000
Median(µm),1.12157,0.849193,0.863341,0.894588,0.832327,0.7446,0.755015,0.758667,0.744371,0.746051,0.738883,0.737674
Mean(µm),2.12794,1.02492,1.10944,1.28841,1.18099,1.00308,1.06271,1.09651,0.993073,1.02338,0.960732,0.983312
Geo. Mean(µm),1.51809,0.936904,0.986823,1.07368,0.999143,0.872995,0.89278,0.902554,0.8622,0.871935,0.849328,0.852107
Mode(µm),5.04807,0.582942,0.723394,3.05053,0.723394,0.582942,0.582942,0.582942,0.582942,0.582942,0.582942,0.582942
Geo. Std. Dev.,2.26017,1.50806,1.59181,1.78049,1.70725,1.60105,1.66316,1.69684,1.5884,1.62288,1.55339,1.58505
Total Conc.(mg/m³),0.000116472,8.47033e-005,8.48702e-005,8.07543e-005,8.18213e-005,0.0174114,0.0210881,0.0188104,0.0166903,0.0152321,0.0141969,0.0130849
