Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022
Start Time,16:15:01,16:18:01,16:21:01,16:24:01,16:27:01,16:30:00,16:33:00,16:36:00,16:39:00,16:42:00,16:45:00,16:48:00,16:51:00,16:54:00,16:57:00,17:00:00,17:03:00,17:06:00,17:09:00,17:12:00,17:15:00,17:18:00,17:21:00,17:24:00,17:27:00,17:30:00,17:33:00
Sample Temp (C),23.3,23.3,23.4,23.4,23.4,23.5,23.5,23.5,23.5,23.5,23.5,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6
Sample Pressure (kPa),81.3,81.3,81.3,81.3,81.4,81.3,81.3,81.4,81.3,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),41.6,41.6,41.6,41.6,41.7,41.7,41.7,41.8,41.8,41.8,41.8,41.8,41.8,41.9,41.9,41.9,42.0,42.0,42.1,42.1,42.1,42.2,42.2,42.3,42.3,42.3,42.4
Mean Free Path (m),8.39640e-008,8.39640e-008,8.40000e-008,8.40000e-008,8.38968e-008,8.40360e-008,8.40360e-008,8.39328e-008,8.40360e-008,8.40360e-008,8.39328e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008
Gas Viscosity (Pa*s),1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005
Diameter Midpoint (nm)
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.011,0.010,0.009,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.012,0.011,0.010,0.009,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.013,0.012,0.011,0.010,0.009,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.015,0.013,0.012,0.011,0.010,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.016,0.015,0.013,0.012,0.011,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.018,0.016,0.015,0.014,0.012,0.011,0.010,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.020,0.018,0.017,0.015,0.014,0.013,0.011,0.010,0.010,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.022,0.019,0.018,0.017,0.015,0.014,0.013,0.012,0.011,0.010,0.010,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.024,0.022,0.021,0.019,0.017,0.016,0.014,0.013,0.012,0.012,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.027,0.025,0.023,0.022,0.019,0.018,0.016,0.015,0.014,0.013,0.012,0.012,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.029,0.028,0.026,0.024,0.021,0.019,0.018,0.017,0.015,0.015,0.013,0.013,0.012,0.011,0.011,0.010,0.009,0.009,0.008,0.007
