Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:01,10:45:01,10:48:01,10:51:01,10:54:01,10:57:00,11:00:00,11:03:01,11:06:00,11:09:01,11:12:00,11:15:00
Sample Temp (C),20.6,20.8,21.0,21.1,21.2,21.4,21.5,21.6,21.6,21.7,21.8,21.9,21.9,22.0,22.1,22.1,22.2,22.2,22.3,22.3,22.4,22.4,22.5,22.5,22.6,22.6
Sample Pressure (kPa),81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7
Relative Humidity (%),44.7,44.5,44.3,44.2,44.0,43.8,43.6,43.4,43.3,43.1,43.0,42.9,42.8,42.8,42.7,42.6,42.5,42.5,42.4,42.4,42.4,42.3,42.3,42.3,42.2,42.2
Mean Free Path (m),8.25859e-008,8.26575e-008,8.27291e-008,8.27649e-008,8.28007e-008,8.28723e-008,8.29082e-008,8.29440e-008,8.29440e-008,8.29798e-008,8.30156e-008,8.30514e-008,8.30514e-008,8.30872e-008,8.31230e-008,8.31230e-008,8.31588e-008,8.31588e-008,8.31947e-008,8.31947e-008,8.32305e-008,8.32305e-008,8.32663e-008,8.32663e-008,8.33021e-008,8.33021e-008
Gas Viscosity (Pa*s),1.82097e-005,1.82193e-005,1.82289e-005,1.82337e-005,1.82384e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005
Diameter Midpoint (nm)
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.008,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.010,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.011,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.013,0.006,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.015,0.007,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.018,0.008,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.021,0.009,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.024,0.011,0.005,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.028,0.013,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.033,0.015,0.007,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.037,0.017,0.008,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.044,0.020,0.010,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 38.5,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.051,0.023,0.011,0.006,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 40.0,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.056,0.028,0.013,0.007,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 41.4,0.000,0.000,0.000,0.000,0.000,0.002,0.139,0.067,0.033,0.015,0.008,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 42.9,0.000,0.000,0.000,0.000,0.000,0.004,0.159,0.076,0.037,0.018,0.009,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 44.5,0.000,0.000,0.000,0.000,0.000,0.008,0.182,0.089,0.042,0.021,0.011,0.006,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 46.1,0.000,0.000,0.000,0.000,0.000,0.015,0.213,0.104,0.050,0.024,0.012,0.007,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 47.8,0.000,0.000,0.000,0.000,0.000,0.026,0.243,0.118,0.058,0.027,0.014,0.007,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 49.6,0.000,0.000,0.000,0.000,0.000,0.037,0.285,0.139,0.068,0.033,0.017,0.009,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 51.4,0.000,0.000,0.000,0.000,0.000,0.042,0.327,0.161,0.079,0.039,0.021,0.010,0.005,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 53.3,0.000,0.000,0.000,0.000,0.000,0.043,0.378,0.181,0.092,0.046,0.023,0.012,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 55.2,0.000,0.000,0.000,0.000,0.000,0.045,0.438,0.214,0.105,0.054,0.028,0.014,0.008,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 57.3,0.000,0.000,0.000,0.000,0.000,0.051,0.505,0.247,0.123,0.065,0.032,0.017,0.009,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 59.4,0.000,0.000,0.000,0.000,0.000,0.068,0.592,0.286,0.144,0.073,0.039,0.019,0.010,0.006,0.003,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 61.5,0.000,0.000,0.000,0.000,0.000,0.119,0.687,0.333,0.166,0.086,0.045,0.024,0.012,0.006,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 63.8,0.000,0.000,0.000,0.000,0.000,0.199,0.799,0.388,0.196,0.100,0.052,0.027,0.013,0.007,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 66.1,0.000,0.000,0.000,0.000,0.000,0.294,0.929,0.448,0.223,0.116,0.060,0.031,0.016,0.008,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 68.5,0.000,0.000,0.000,0.000,0.000,0.422,1.090,0.529,0.257,0.135,0.072,0.037,0.018,0.010,0.005,0.003,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 71.0,0.000,0.000,0.000,0.000,0.000,0.551,1.233,0.595,0.290,0.150,0.079,0.040,0.021,0.012,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 73.7,0.000,0.000,0.000,0.000,0.000,0.741,1.398,0.661,0.329,0.170,0.090,0.048,0.023,0.012,0.006,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 76.4,0.000,0.000,0.000,0.000,0.000,1.025,1.613,0.772,0.377,0.196,0.101,0.053,0.027,0.014,0.007,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 79.1,0.000,0.000,0.000,0.000,0.000,1.351,1.907,0.920,0.437,0.224,0.117,0.061,0.032,0.018,0.009,0.005,0.003,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 82.0,0.001,0.000,0.000,0.000,0.000,1.765,2.170,1.032,0.514,0.259,0.135,0.071,0.037,0.018,0.009,0.006,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 85.1,0.000,0.000,0.000,0.000,0.000,2.207,2.545,1.204,0.598,0.298,0.156,0.082,0.042,0.024,0.013,0.007,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 88.2,0.001,0.000,0.000,0.000,0.000,2.629,2.925,1.406,0.706,0.345,0.180,0.095,0.049,0.027,0.014,0.008,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 91.4,0.000,0.000,0.000,0.000,0.000,3.135,3.413,1.611,0.808,0.401,0.208,0.108,0.057,0.030,0.016,0.009,0.005,0.002,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.000
 94.7,0.001,0.000,0.000,0.000,0.000,3.674,3.923,1.863,0.941,0.466,0.237,0.124,0.066,0.035,0.020,0.009,0.005,0.003,0.002,0.001,0.001,0.000,0.001,0.000,0.000,0.000
 98.2,0.000,0.000,0.000,0.000,0.000,4.302,4.519,2.146,1.069,0.536,0.277,0.144,0.074,0.041,0.022,0.012,0.007,0.003,0.002,0.001,0.000,0.001,0.001,0.000,0.000,0.000
101.8,0.001,0.000,0.000,0.000,0.000,5.094,5.159,2.467,1.229,0.628,0.317,0.169,0.089,0.048,0.023,0.013,0.007,0.004,0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.000
105.5,0.001,0.000,0.000,0.000,0.000,5.898,5.888,2.843,1.424,0.712,0.364,0.187,0.094,0.053,0.027,0.014,0.008,0.005,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000
109.4,0.001,0.001,0.000,0.000,0.000,6.847,6.670,3.239,1.623,0.816,0.410,0.210,0.114,0.059,0.034,0.016,0.009,0.005,0.003,0.002,0.001,0.001,0.000,0.001,0.001,0.000
113.4,0.001,0.000,0.000,0.000,0.000,7.955,7.636,3.649,1.859,0.938,0.477,0.246,0.130,0.065,0.035,0.019,0.012,0.006,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.000
117.6,0.001,0.000,0.001,0.000,0.000,9.312,8.658,4.172,2.108,1.063,0.544,0.274,0.150,0.074,0.042,0.020,0.012,0.006,0.004,0.002,0.002,0.001,0.001,0.000,0.001,0.000
121.9,0.001,0.001,0.001,0.001,0.000,10.610,9.947,4.690,2.374,1.206,0.619,0.312,0.160,0.093,0.048,0.024,0.013,0.008,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.000
126.3,0.001,0.001,0.001,0.001,0.000,12.060,11.096,5.260,2.708,1.373,0.712,0.353,0.190,0.097,0.051,0.030,0.013,0.007,0.005,0.004,0.001,0.002,0.002,0.001,0.001,0.001
131.0,0.002,0.001,0.001,0.000,0.001,13.969,12.533,5.920,3.014,1.500,0.797,0.395,0.204,0.107,0.057,0.032,0.017,0.009,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.001
135.8,0.002,0.000,0.001,0.000,0.000,15.586,13.882,6.661,3.399,1.681,0.873,0.440,0.225,0.119,0.063,0.033,0.018,0.010,0.006,0.004,0.003,0.001,0.001,0.001,0.001,0.000
140.7,0.002,0.001,0.001,0.001,0.000,17.430,15.432,7.396,3.724,1.873,0.967,0.497,0.251,0.133,0.073,0.038,0.020,0.011,0.007,0.005,0.003,0.002,0.001,0.003,0.002,0.001
145.9,0.002,0.001,0.000,0.000,0.001,19.274,16.913,8.133,4.103,2.025,1.064,0.535,0.284,0.148,0.072,0.037,0.021,0.013,0.009,0.005,0.004,0.002,0.002,0.002,0.002,0.001
151.2,0.002,0.002,0.001,0.001,0.000,21.151,18.388,9.038,4.606,2.238,1.173,0.587,0.302,0.150,0.082,0.049,0.022,0.014,0.008,0.005,0.003,0.003,0.001,0.001,0.001,0.002
156.8,0.003,0.002,0.001,0.000,0.000,23.018,19.974,9.774,4.935,2.427,1.256,0.649,0.327,0.162,0.088,0.049,0.028,0.014,0.010,0.006,0.004,0.003,0.002,0.001,0.001,0.001
162.5,0.003,0.002,0.001,0.001,0.001,24.834,21.503,10.560,5.313,2.687,1.344,0.680,0.365,0.179,0.093,0.053,0.031,0.016,0.008,0.005,0.004,0.004,0.002,0.001,0.002,0.001
168.5,0.002,0.002,0.001,0.001,0.001,26.584,23.031,11.248,5.699,2.842,1.452,0.735,0.363,0.189,0.097,0.055,0.029,0.018,0.011,0.006,0.004,0.004,0.003,0.003,0.002,0.002
