Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_APS_smokeEater_SCAN3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22
Start Time,13:00:00,13:03:00,13:06:00,13:09:00,13:12:00,13:15:01,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:01,13:45:00,13:48:00,13:51:00,13:54:00,13:57:00,14:00:01,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
1.382,0,0,0,0,0,0,0.00957397,0.0269927,0.0217851,0.015322,0.010628,0.00767568,0.00549407,0.00378089,0.0026923,0.00184236,0.0012717,0.000928422,0.000640277,0.000441071,0.000297803,0.000197597,0.000165402,0.000111073,7.04265e-005,5.59387e-005,4.02437e-005,3.01828e-005
1.486,0,0,0,0,0,0,0.0114068,0.0319061,0.0249165,0.0169916,0.0118068,0.00818116,0.00584297,0.00403814,0.00279314,0.00194416,0.00131442,0.000947859,0.00063124,0.000432979,0.000324609,0.000230722,0.000150819,0.000115361,7.49099e-005,5.69315e-005,4.09507e-005,3.09627e-005
1.596,6.19723e-007,0,0,0,0,0,0.0139611,0.0379035,0.0285153,0.0189195,0.0127843,0.00889117,0.00604292,0.00414037,0.00279371,0.00189263,0.00133736,0.000884965,0.000630258,0.00047099,0.000299946,0.000215044,0.000127043,0.000103494,7.31273e-005,5.26765e-005,3.47045e-005,2.66481e-005
1.715,0,1.53808e-006,0,0,1.53808e-006,7.69038e-007,0.0161167,0.0427454,0.0318282,0.0205548,0.0138012,0.00939149,0.00631149,0.00419203,0.00297618,0.0018826,0.00126737,0.000955145,0.000609078,0.000427585,0.000312229,0.000202257,0.000122277,9.53607e-005,7.22896e-005,4.92184e-005,3.84519e-005,2.61473e-005
1.843,0,0,0,0,0,0,0.0170958,0.045636,0.0330026,0.0207843,0.01354,0.00904131,0.00613919,0.00415515,0.00274179,0.00180654,0.00120245,0.000770143,0.000539195,0.000371234,0.00025576,0.000166053,0.000115474,8.39809e-005,5.72597e-005,4.10361e-005,2.95842e-005,2.19496e-005
1.981,1.18426e-006,0,0,1.18426e-006,1.18426e-006,0,0.01743,0.0476808,0.0351157,0.0221433,0.0144101,0.00975358,0.00623277,0.00409281,0.00275696,0.00180718,0.00116768,0.000826615,0.000531734,0.000363568,0.000206062,0.000172902,0.000107768,8.17141e-005,2.48695e-005,3.19751e-005,1.53954e-005,1.65797e-005
2.129,1.4696e-006,0,0,0,0,1.4696e-006,0.0189328,0.051452,0.0371337,0.0236355,0.0149355,0.00960381,0.00613556,0.00392823,0.00272463,0.00164889,0.00118009,0.000715693,0.000423244,0.000273345,0.000179291,0.000127855,7.93582e-005,5.73142e-005,3.38007e-005,2.79223e-005,1.76351e-005,5.87838e-006
2.288,1.82368e-006,1.82368e-006,0,0,0,0,0.0225096,0.0580002,0.0380583,0.0223273,0.0139074,0.00880836,0.00566251,0.00350146,0.00218659,0.0014097,0.000742236,0.000443153,0.000350146,0.00021337,0.000107597,6.2005e-005,4.01209e-005,1.82368e-005,1.27657e-005,1.64131e-005,1.27657e-005,9.11838e-006
2.458,2.26307e-006,2.26307e-006,0,0,0,2.26307e-006,0.0281978,0.0656652,0.0397644,0.0224836,0.0132525,0.0082851,0.00521185,0.00284015,0.00179914,0.00112022,0.000624607,0.000328145,0.000262516,0.000135784,6.11029e-005,6.33659e-005,2.94199e-005,1.35784e-005,1.58415e-005,4.52614e-006,2.26307e-006,0
2.642,5.61665e-006,0,0,0,2.80833e-006,0,0.0258198,0.0608256,0.0361235,0.0197313,0.0114608,0.00673156,0.00411982,0.00234215,0.00156986,0.000834073,0.000432482,0.000311724,0.000174116,8.98665e-005,2.80833e-005,1.685e-005,5.61665e-006,1.12333e-005,8.42498e-006,2.80833e-006,2.80833e-006,5.61665e-006
2.839,0,0,0,0,0,0,0.021199,0.0516053,0.0317166,0.0168393,0.00925954,0.00540866,0.00332117,0.00186445,0.00102806,0.000491379,0.000285767,0.000132428,7.66691e-005,4.53045e-005,1.74248e-005,1.04549e-005,0,3.48496e-006,3.48496e-006,0,0,0
3.051,0,0,0,0,0,0,0.0235475,0.0561335,0.0332131,0.016693,0.00890871,0.00474411,0.00272883,0.00147469,0.000726536,0.0002811,0.000160011,6.91939e-005,3.89216e-005,1.72985e-005,4.32462e-006,1.29739e-005,0,0,0,0,4.32462e-006,0
3.278,0,0,0,0,0,5.36658e-006,0.0316092,0.0648712,0.0329615,0.0144415,0.00771178,0.0041591,0.00195344,0.000998184,0.000504459,0.00020393,0.000128798,2.14663e-005,1.60997e-005,1.60997e-005,1.07332e-005,1.07332e-005,0,0,0,0,0,0
3.523,6.65959e-006,0,0,0,0,0,0.0276307,0.0576255,0.0258059,0.0120872,0.00614015,0.00325654,0.00143847,0.000719236,0.000419554,0.000106554,6.65959e-005,4.66172e-005,1.99788e-005,1.33192e-005,1.33192e-005,0,0,0,6.65959e-006,0,0,0
3.786,0,0,8.26414e-006,0,0,0,0.0216603,0.046585,0.0219082,0.0100492,0.00504939,0.00268585,0.00124789,0.000520641,0.000214868,0.000123962,2.47924e-005,1.65283e-005,8.26414e-006,8.26414e-006,0,0,0,0,0,0,0,0
4.068,0,0,0,0,0,0,0.0211259,0.0419851,0.0183467,0.0074761,0.00323042,0.00163059,0.000584551,0.000297403,0.000143574,2.05106e-005,3.07659e-005,1.02553e-005,1.02553e-005,0,0,0,0,0,0,0,0,0
4.371,0,0,0,0,0,0,0.025745,0.0453306,0.0166458,0.00590494,0.00212527,0.000750844,0.00026725,8.90832e-005,7.6357e-005,1.27262e-005,1.27262e-005,0,1.27262e-005,0,0,0,0,0,0,0,0,0
4.698,0,0,0,0,0,0,0.0214934,0.0381544,0.0131393,0.00375859,0.00123181,0.000615903,0.000189509,0.000110547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.048,0,0,0,0,0,0,0.0194406,0.0316693,0.00907358,0.00252806,0.000842687,0.000176376,7.83895e-005,5.87921e-005,1.95974e-005,1.95974e-005,0,0,0,0,0,0,0,0,0,0,0,0
5.425,0,0,0,0,0,0,0.0180205,0.0289397,0.00739301,0.00199417,0.000389106,0.000218872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.829,0,0,0,0,0,0,0.017926,0.0245653,0.00537177,0.00135803,0.000362142,9.05355e-005,6.0357e-005,3.01785e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.264,0,0,0,0,0,0,0.0139313,0.01674,0.00340792,0.000861342,0.000337047,0.000112349,7.48993e-005,0,7.48993e-005,0,0,0,0,0,0,0,0,0,0,0,0,0
6.732,0,0,0,0,0,0,0.0132912,0.0131982,0.00292778,0.000882981,0.000464727,9.29454e-005,0,4.64727e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64727e-005
7.234,0,0,0,0,0,0,0.0100922,0.0124567,0.00253747,0.000865046,0.000115339,0.000115339,0.000115339,5.76697e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.774,0,0,0,0,0,0,0.00679863,0.00729958,0.00257632,0.000286258,0.000143129,7.15645e-005,0,0,0.000143129,0,0,0,7.15645e-005,0,0,0,0,0,0,0,0,0
8.354,0,0,0,0,0,0,0.00586127,0.00559485,0.00106569,0.000532843,0,8.88071e-005,8.88071e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.977,0,0,0,0,0,0,0.00253469,0.00352653,0.000991837,0.000220408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.647,0,0,0,0,0,0,0.00205135,0.00191459,0.000273513,0.000136756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.37,0,0,0,0,0,0,0.00101824,0.00101824,0.000509119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.14,0,0,0,0,0,0,0.000631785,0.00126357,0.000210595,0.000210595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.97,0,0,0,0,0,0,0,0.000261335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.86,0,0,0,0,0,0,0.000324301,0.000324301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.82,0,0,0,0,0,0,0.00120731,0.000402437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.86,0,0,0,0,0,0,0,0.000499399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0.000619723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Event 1,40,29,21,14,21,8,149572,446432,386276,293805,220248,167030,125269,92009,69253,51678,38192,28841,21692,16171,12370,9608,7255,5696,4492,3587,2651,2295
Event 3,0,0,0,0,0,0,23204,123730,80853,41472,21124,11338,5964,3120,1677,1008,496,318,160,90,47,27,14,13,1,8,1,0
Event 4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Time,0,0,0,0,0,0,3784,10819,8589,6095,4356,3178,2302,1657,1216,928,672,498,365,271,204,153,116,89,68,52,39,32
Inlet Pressure,831.1,830.5,830.2,831.4,830.5,831.4,829.9,830.2,830.2,830.2,829.9,830.2,830.2,830.2,829.3,830.2,830.5,829.1,829.3,830.2,829.9,830.2,829.3,830.2,829.9,829.9,829.6,830.8
Total Flow,4.96,4.97,4.96,4.97,4.96,4.96,4.97,4.96,4.96,4.97,4.96,4.96,4.96,4.96,4.97,4.97,4.97,4.97,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.97,4.97,4.96
Sheath Flow,4,4,3.97,3.97,3.99,3.96,3.97,3.97,3.97,3.96,3.98,3.93,3.97,3.96,3.99,3.98,3.97,3.98,3.97,3.95,3.96,3.98,3.99,3.96,3.96,3.99,3.96,3.99
Analog Input Voltage 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analog Input Voltage 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laser Power,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Laser Current,41.7,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.9,41.8,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9
Sheath Pump Voltage,2.761,2.762,2.753,2.773,2.759,2.759,2.766,2.755,2.754,2.755,2.754,2.756,2.758,2.76,2.75,2.766,2.76,2.743,2.751,2.763,2.763,2.757,2.748,2.77,2.761,2.759,2.76,2.775
Total Pump Voltage,2.875,2.884,2.881,2.877,2.884,2.873,2.881,2.881,2.878,2.882,2.881,2.875,2.88,2.88,2.878,2.874,2.871,2.877,2.884,2.876,2.883,2.876,2.881,2.875,2.878,2.877,2.879,2.869
Box Temperature,31.2,31.2,31.2,31.2,31.3,31.3,31.4,31.3,31.4,31.6,31.6,31.7,31.9,31.7,31.9,31.8,31.8,31.7,31.8,31.9,31.7,31.8,31.9,31.8,31.8,31.9,31.9,31.9
Avalanch Photo Diode Temperature,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
Avalanch Photo Diode Voltage,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,231,231,231,231,231,231,231,231,231,231,231,231,231
Status Flags,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000
Median(µm),2.59285,2.26215,3.77771,1.15516,2.00617,3.16549,3.07273,2.61426,2.19146,1.94767,1.78899,1.68035,1.58531,1.50089,1.43905,1.35666,1.30159,1.25078,1.22358,1.17624,1.12524,1.10533,1.06351,1.05473,1.02444,1.01613,1.00747,1.02108
Mean(µm),2.56777,1.93487,3.53002,1.45545,2.05146,2.64328,3.44909,2.97885,2.4422,2.14264,1.9466,1.82785,1.72054,1.62991,1.57787,1.46717,1.41498,1.36031,1.37607,1.29462,1.23939,1.22692,1.17155,1.16351,1.14171,1.12591,1.11793,1.42905
Geo. Mean(µm),2.38645,1.79758,3.30847,1.34423,1.9306,2.48019,2.92895,2.54181,2.11545,1.87485,1.72432,1.6258,1.5398,1.46606,1.41744,1.33631,1.2928,1.24928,1.24048,1.19238,1.1484,1.13531,1.09237,1.08474,1.06235,1.05246,1.0427,1.14717
Mode(µm),3.52269,2.45824,3.78552,1.98096,2.64165,3.27812,3.27812,2.45824,2.45824,2.12875,2.12875,1.98096,1.71544,1.71544,1.71544,1.48551,1.59634,1.71544,1.03663,1.03663,1.03663,0.964662,1.03663,0.897687,0.964662,0.897687,0.835363,0.897687
Geo. Std. Dev.,1.53547,1.52949,1.55819,1.51292,1.46146,1.50035,1.80997,1.78116,1.72444,1.68648,1.6485,1.63043,1.60697,1.58783,1.58286,1.54518,1.53166,1.51197,1.54771,1.49837,1.47439,1.47825,1.44975,1.44922,1.44978,1.43712,1.44226,1.75205
Total Conc.(mg/m³),2.22497e-005,7.14679e-006,9.1869e-006,2.45874e-006,6.56059e-006,1.07376e-005,0.54528,1.18818,0.698244,0.40547,0.254861,0.16883,0.112,0.0744216,0.0514782,0.0343614,0.0235898,0.0165974,0.0117913,0.00830351,0.00586452,0.00428752,0.00306375,0.00230725,0.00169272,0.00127875,0.000942991,0.000794387
