Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220711\VL_CU_APS_CADR_Avery3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22
Start Time,13:30:01,13:33:00,13:36:00,13:39:00,13:42:01,13:45:00,13:48:00,13:51:00,13:54:01,13:57:00,14:00:00,14:03:00,14:06:01,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:01,14:30:00,14:33:00,14:36:00,14:39:00,14:42:00,14:45:00,14:48:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,3.35231e-006,1.78104e-006,7.97973e-007,6.25216e-007,4.60686e-007,0.000947021,0.00244077,0.00219111,0.00200697,0.00185539,0.00170071,0.00158367,0.00149244,0.0014307,0.00136602,0.00130469,0.00125933,0.00122366,0.00119887,0.00113388,0.00109234,0.00105417,0.00101587,0.000990992,0.000962166,0.000956396,0.000917599
0.542,2.89397e-006,1.43483e-006,7.53893e-007,4.86382e-007,2.18872e-007,0.00106258,0.00255706,0.00220285,0.00200691,0.00183497,0.00163454,0.00150253,0.00140504,0.0013482,0.00127403,0.00123551,0.00118203,0.00116739,0.00116379,0.00106938,0.00103288,0.00100423,0.000954623,0.000938791,0.000909802,0.000925294,0.000890055
0.583,4.31553e-006,2.59535e-006,1.05625e-006,7.54463e-007,4.52678e-007,0.00165529,0.00426694,0.00373888,0.0034309,0.00318118,0.00291138,0.00274486,0.00257785,0.00247708,0.00235697,0.0022665,0.0022033,0.0021431,0.00212626,0.00199003,0.00192916,0.00185842,0.00178811,0.00174773,0.00169546,0.00169235,0.00162949
0.626,7.82698e-006,3.48282e-006,1.76013e-006,4.86845e-007,5.99194e-007,0.00229559,0.00617058,0.00558135,0.00517371,0.00481865,0.00452939,0.00429375,0.00405707,0.00395697,0.00378028,0.00363288,0.00351364,0.00341073,0.00333729,0.0031788,0.00307787,0.00297841,0.00287078,0.00279565,0.00269873,0.00265301,0.00255961
0.673,1.03169e-005,4.74021e-006,1.99833e-006,7.90036e-007,6.9709e-007,0.00290017,0.00799711,0.00737624,0.00691021,0.00648661,0.00616962,0.00592095,0.00563244,0.00543851,0.00525787,0.00505776,0.00488809,0.00473213,0.0045651,0.00439515,0.00428376,0.00413361,0.0040045,0.00384585,0.00373064,0.00362231,0.00348931
0.723,1.11303e-005,5.01726e-006,3.11416e-006,1.9031e-006,6.92037e-007,0.00341912,0.00952767,0.00884792,0.0083327,0.00787728,0.00751356,0.00720076,0.00690831,0.00662723,0.00644401,0.00619626,0.00597124,0.00575238,0.00553629,0.00536795,0.0052134,0.00503428,0.00486115,0.00463699,0.0045239,0.00433324,0.00414876
0.777,1.19513e-005,5.29577e-006,3.93605e-006,1.28816e-006,1.14503e-006,0.00393956,0.0110049,0.0101986,0.00958929,0.00904282,0.00865394,0.0082959,0.00796069,0.00764402,0.00738775,0.00714235,0.0068191,0.00652998,0.00630161,0.00612098,0.00591223,0.00564036,0.00545672,0.0052509,0.00506655,0.00484284,0.00467488
0.835,1.29658e-005,7.10457e-006,2.84183e-006,1.50972e-006,1.06569e-006,0.0044162,0.0123075,0.0114127,0.010646,0.0100244,0.00958637,0.0092228,0.00883,0.00841545,0.00815036,0.00777844,0.00749612,0.00714054,0.00685493,0.0066346,0.00638292,0.00613018,0.00593427,0.00567007,0.00546706,0.0052223,0.00496698
0.898,1.23429e-005,6.06123e-006,3.52653e-006,1.87347e-006,1.21225e-006,0.00498729,0.0138876,0.012784,0.0118772,0.0112537,0.0106809,0.0101779,0.00976563,0.00932679,0.00897612,0.00856793,0.00817075,0.00780807,0.00748936,0.00725088,0.00694187,0.00663319,0.00637894,0.00612779,0.00584985,0.00560024,0.00538832
0.965,1.40859e-005,5.88053e-006,4.37621e-006,1.64108e-006,1.50432e-006,0.00554985,0.0154491,0.0141729,0.0132068,0.0124054,0.0118101,0.0112987,0.0107716,0.0102026,0.00977439,0.00937616,0.00893293,0.00851035,0.00808723,0.00776298,0.00741439,0.00715058,0.00677614,0.0065133,0.0062071,0.00590542,0.00562753
1.037,1.51039e-005,6.10942e-006,2.7153e-006,1.18794e-006,5.09119e-007,0.00614676,0.0170176,0.0156534,0.0144318,0.0135259,0.012807,0.0121442,0.0115617,0.0109849,0.0105557,0.00994835,0.00948607,0.0090988,0.00852723,0.00825332,0.00782668,0.00745672,0.00716788,0.0067913,0.00648668,0.00609466,0.00584926
