Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220705\VL_CU_APS_CADR_20220705.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Date,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22
Start Time,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:01,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:01,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.52727e-007,4.19553e-007,1.80984e-007,1.39851e-007,3.24948e-007,1.52191e-007,1.11058e-007,9.46051e-008,6.1699e-008,8.63785e-008,0.000525766,0.00137045,0.00132804,0.00127033,0.00122656,0.00116338,0.00113218,0.00109491,0.00106482,0.0010329,0.000982523,0.000967144,0.000929441,0.000896696,0.000875891,0.000851783,0.000829431,0.00079748,0.000766749,0.000751358,0.000728521,0.000707601,0.000683147
1.114,0,4.2119e-007,2.10595e-007,0,4.2119e-007,4.2119e-007,2.10595e-007,0,2.10595e-007,0,0.00535627,0.0146344,0.0144468,0.0140749,0.013588,0.0129796,0.0125367,0.0119898,0.0116057,0.0110634,0.0106473,0.0101064,0.00977202,0.00939843,0.00894101,0.00857226,0.00823847,0.00787814,0.00762164,0.00724678,0.00687445,0.00663984,0.00641135
1.197,0,5.2267e-007,0,2.61335e-007,0,5.2267e-007,0,0,0,2.61335e-007,0.00581523,0.0159145,0.0157528,0.0151595,0.0147247,0.0139765,0.0135,0.0128522,0.0124207,0.01196,0.0114757,0.0108404,0.0104411,0.00997621,0.00943733,0.00907565,0.00862458,0.0082412,0.00796889,0.00756147,0.00718384,0.00684724,0.00656343
1.286,3.24301e-007,3.24301e-007,6.48601e-007,0,6.48601e-007,0,0,0,3.24301e-007,3.24301e-007,0.00636699,0.0172327,0.0169042,0.0163817,0.0156592,0.0149571,0.0142183,0.013644,0.0130323,0.012496,0.0118911,0.0113463,0.0107901,0.0102648,0.00971248,0.00932689,0.00894032,0.00836761,0.00799369,0.00766939,0.00721764,0.00692998,0.00653887
1.382,4.02437e-007,4.02437e-007,4.02437e-007,0,0,0,0,0,0,4.02437e-007,0.00727364,0.0199251,0.0196631,0.0187697,0.0177463,0.0171418,0.0161667,0.0153248,0.0145565,0.0138483,0.0132651,0.0125311,0.0119355,0.0113705,0.010661,0.0101571,0.00964319,0.00908944,0.00855339,0.00816585,0.00776583,0.00735655,0.00699798
1.486,9.98798e-007,0,0,4.99399e-007,0,9.98798e-007,0,0,4.99399e-007,0,0.00793395,0.0214946,0.0213343,0.0202551,0.0192174,0.0182336,0.0172108,0.016168,0.0154304,0.0144541,0.0136775,0.0130034,0.0123651,0.0116914,0.0109863,0.0104045,0.00988011,0.00920442,0.00887932,0.00823409,0.00791098,0.00730871,0.00697161
1.596,0,6.19723e-007,0,0,0,0,0,6.19723e-007,6.19723e-007,0,0.00939438,0.0254279,0.0245844,0.0235613,0.0224445,0.0207762,0.0195919,0.0185855,0.0175983,0.0164214,0.0153784,0.0144588,0.0137318,0.0129212,0.0122934,0.0114475,0.0106444,0.0100748,0.00963298,0.00897173,0.00836192,0.00797584,0.00745651
1.715,7.69038e-007,0,0,7.69038e-007,7.69038e-007,7.69038e-007,0,7.69038e-007,0,0,0.0111649,0.0303562,0.0292765,0.0277684,0.0259089,0.0243162,0.022895,0.0215161,0.0199265,0.0186884,0.0177133,0.0165289,0.0155161,0.0145556,0.0135643,0.0129268,0.0119385,0.0110634,0.0104781,0.00971218,0.00914924,0.00856708,0.00811335
1.843,0,0,0,0,0,0,0,0,0,0,0.0113603,0.0317791,0.0302312,0.0286508,0.0270647,0.0247448,0.0236168,0.0220469,0.0206488,0.0188337,0.0177696,0.0163791,0.0154868,0.0143226,0.0135391,0.0125236,0.0115149,0.0106904,0.0100844,0.00940109,0.00862808,0.00775678,0.00747907
1.981,1.18426e-006,0,0,0,0,0,0,1.18426e-006,0,0,0.0127202,0.0344999,0.0329876,0.030464,0.0286509,0.0261757,0.0244301,0.0227722,0.020798,0.0194657,0.0179037,0.0164103,0.0154191,0.0141401,0.0128919,0.0120392,0.0113772,0.0103682,0.00952857,0.00886775,0.00806009,0.00755322,0.00691964
2.129,0,0,0,0,0,1.4696e-006,0,1.4696e-006,0,0,0.0141625,0.0382683,0.0363152,0.0334024,0.0312392,0.0283514,0.0264366,0.0242204,0.0220866,0.0205685,0.018777,0.0170561,0.0160362,0.0143197,0.012953,0.0123314,0.0113188,0.0102108,0.00922465,0.00854717,0.00784176,0.00727303,0.00654999
