Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220707\VL_CU_APS_CADR_Oransi_SCAN2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22
Start Time,12:30:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:48:01,12:51:00,12:54:00,12:57:00,13:00:00,13:03:00,13:06:00,13:09:00,13:12:00,13:15:01,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.60954e-007,4.93592e-007,2.09776e-007,1.31624e-007,1.02832e-007,0.000613744,0.00171033,0.00105908,0.000499955,0.000238454,0.000115089,5.62653e-005,2.72175e-005,1.40057e-005,6.73753e-006,3.54563e-006,1.89621e-006,1.12292e-006,6.45782e-007,3.82534e-007,2.55022e-007,1.8921e-007,1.52191e-007,1.19285e-007,9.46051e-008,1.02832e-007
0.542,4.37744e-007,2.6751e-007,1.94553e-007,4.86382e-008,9.72765e-008,0.000655279,0.0017474,0.00105888,0.000488839,0.000230472,0.000107418,5.43289e-005,2.37841e-005,1.29378e-005,5.88523e-006,3.72082e-006,2.52919e-006,9.97084e-007,6.32297e-007,3.64787e-007,3.64787e-007,1.94553e-007,1.45915e-007,1.21596e-007,1.21596e-007,7.29573e-008
0.583,7.54463e-007,3.62142e-007,2.71607e-007,6.0357e-008,9.05355e-008,0.00114745,0.00312145,0.00189358,0.000890658,0.000420779,0.000200325,9.83819e-005,4.70483e-005,2.28753e-005,1.12566e-005,6.18659e-006,3.10839e-006,1.81071e-006,1.08643e-006,7.84641e-007,4.52678e-007,1.50893e-007,2.71607e-007,6.0357e-008,1.50893e-007,9.05355e-008
0.626,7.11543e-007,2.99597e-007,1.12349e-007,7.48993e-008,1.12349e-007,0.00172613,0.00475929,0.00293336,0.00140541,0.000665068,0.000322554,0.000155042,7.69965e-005,3.66258e-005,2.04101e-005,9.69946e-006,5.91704e-006,2.69637e-006,1.72268e-006,1.04859e-006,5.61745e-007,3.74497e-007,2.62148e-007,7.48993e-008,3.74497e-008,2.24698e-007
0.673,7.43563e-007,3.25309e-007,2.32363e-007,0,9.29454e-008,0.00223087,0.00631922,0.00395227,0.00191653,0.00092225,0.000455804,0.000217353,0.000106887,5.32577e-005,2.56529e-005,1.357e-005,7.24974e-006,4.27549e-006,2.13774e-006,1.48713e-006,1.0224e-006,8.36508e-007,6.50618e-007,3.71781e-007,3.25309e-007,2.32363e-007
0.723,6.34367e-007,2.30679e-007,4.03688e-007,0,1.15339e-007,0.00263049,0.00756159,0.00476283,0.00233828,0.00112854,0.000552245,0.000270125,0.000128949,6.73005e-005,3.17183e-005,1.69549e-005,9.05414e-006,5.07493e-006,2.59514e-006,1.38407e-006,9.80385e-007,7.49706e-007,5.19027e-007,6.34367e-007,4.03688e-007,2.30679e-007
0.777,5.00952e-007,3.57823e-007,1.43129e-007,1.43129e-007,2.86258e-007,0.00297487,0.00863204,0.00545093,0.00265919,0.00129009,0.000633131,0.00031195,0.000150643,7.75759e-005,3.7142e-005,1.9394e-005,1.00906e-005,6.44081e-006,3.4351e-006,2.2185e-006,1.28816e-006,6.44081e-007,5.72516e-007,7.15645e-007,8.58774e-007,2.14694e-007
0.835,2.66421e-007,3.55229e-007,4.44036e-007,2.66421e-007,0,0.00332476,0.00953194,0.00595505,0.0029182,0.00143273,0.000694472,0.000338178,0.000172375,7.93936e-005,4.50252e-005,2.13137e-005,1.21666e-005,7.37099e-006,2.66421e-006,2.22018e-006,1.77614e-006,9.76878e-007,8.88071e-007,5.32843e-007,1.77614e-007,4.44036e-007
