Mean Free Path (m),8.38657e-008,8.39016e-008,8.39376e-008,8.40407e-008,8.40767e-008,8.40767e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41846e-008,8.42881e-008,8.42881e-008,8.41846e-008,8.42881e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.42206e-008,8.43241e-008
Gas Viscosity (Pa*s),1.83531e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005
Diameter Midpoint (nm)
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.006,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.011,0.006,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.012,0.007,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.013,0.008,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.014,0.009,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.016,0.009,0.006,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.017,0.010,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.019,0.012,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.021,0.013,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.023,0.014,0.009,0.006,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 34.6,0.000,0.000,0.000,0.000,0.000,0.001,0.031,0.024,0.015,0.009,0.006,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 35.9,0.000,0.000,0.000,0.000,0.000,0.001,0.034,0.027,0.017,0.010,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 37.2,0.000,0.000,0.000,0.000,0.000,0.001,0.037,0.030,0.019,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 38.5,0.000,0.000,0.000,0.000,0.000,0.002,0.042,0.032,0.020,0.012,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 40.0,0.000,0.000,0.000,0.000,0.000,0.004,0.046,0.036,0.022,0.013,0.009,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 41.4,0.000,0.000,0.000,0.000,0.000,0.005,0.049,0.039,0.024,0.015,0.010,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 42.9,0.000,0.000,0.000,0.000,0.000,0.006,0.055,0.042,0.027,0.016,0.010,0.006,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 44.5,0.000,0.000,0.000,0.000,0.000,0.007,0.058,0.047,0.028,0.018,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 46.1,0.000,0.000,0.000,0.000,0.000,0.008,0.064,0.050,0.030,0.019,0.013,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 47.8,0.000,0.000,0.000,0.000,0.000,0.009,0.070,0.054,0.033,0.021,0.012,0.008,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 49.6,0.001,0.000,0.000,0.000,0.000,0.010,0.076,0.060,0.037,0.023,0.014,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 51.4,0.001,0.000,0.000,0.000,0.000,0.012,0.084,0.065,0.038,0.024,0.016,0.010,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 53.3,0.001,0.000,0.000,0.000,0.000,0.014,0.091,0.070,0.044,0.028,0.017,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 55.2,0.001,0.000,0.000,0.000,0.000,0.015,0.099,0.077,0.048,0.030,0.019,0.012,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 57.3,0.001,0.000,0.000,0.000,0.000,0.018,0.107,0.082,0.052,0.031,0.020,0.012,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 59.4,0.001,0.001,0.000,0.000,0.000,0.021,0.118,0.091,0.055,0.034,0.022,0.015,0.008,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 61.5,0.001,0.001,0.000,0.000,0.000,0.022,0.128,0.100,0.060,0.037,0.024,0.014,0.010,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 63.8,0.002,0.001,0.000,0.000,0.000,0.024,0.137,0.107,0.064,0.041,0.026,0.016,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 66.1,0.002,0.001,0.001,0.000,0.000,0.029,0.151,0.115,0.070,0.044,0.026,0.018,0.012,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 68.5,0.002,0.001,0.000,0.000,0.000,0.031,0.160,0.123,0.076,0.047,0.030,0.019,0.011,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 71.0,0.002,0.001,0.001,0.000,0.000,0.034,0.177,0.132,0.080,0.051,0.031,0.020,0.012,0.008,0.006,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 73.7,0.002,0.001,0.001,0.000,0.000,0.039,0.185,0.141,0.085,0.055,0.035,0.021,0.014,0.009,0.005,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 76.4,0.002,0.001,0.001,0.000,0.000,0.045,0.201,0.154,0.094,0.057,0.035,0.022,0.014,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 79.1,0.003,0.001,0.001,0.000,0.000,0.055,0.216,0.164,0.101,0.063,0.039,0.023,0.015,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
