Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022
Start Time,11:25:00,11:28:01,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:24:59,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00
Sample Temp (C),20.3,20.5,20.7,20.9,21.0,21.2,21.3,21.5,21.6,21.7,21.8,21.9,22.0,22.1,22.2,22.3,22.3,22.4,22.5,22.5,22.6,22.7,22.8,22.8,22.9,22.9
Sample Pressure (kPa),81.7,81.7,81.7,81.6,81.7,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6
Relative Humidity (%),60.7,61.2,61.4,61.6,61.7,61.7,61.6,61.5,61.4,61.3,61.1,60.9,60.7,60.5,60.4,60.2,59.9,59.8,59.6,59.4,59.2,59.1,58.9,58.7,58.6,58.4
Mean Free Path (m),8.24786e-008,8.25502e-008,8.26217e-008,8.27947e-008,8.27291e-008,8.29022e-008,8.29381e-008,8.30098e-008,8.30456e-008,8.30815e-008,8.31173e-008,8.31532e-008,8.31890e-008,8.32249e-008,8.32607e-008,8.32966e-008,8.32966e-008,8.33325e-008,8.33683e-008,8.33683e-008,8.34042e-008,8.34401e-008,8.34759e-008,8.34759e-008,8.35118e-008,8.35118e-008
Gas Viscosity (Pa*s),1.81953e-005,1.82049e-005,1.82145e-005,1.82241e-005,1.82289e-005,1.82384e-005,1.82432e-005,1.82528e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005
Diameter Midpoint (nm)
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.006,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.011,0.006,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.012,0.007,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.013,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.015,0.009,0.006,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.017,0.010,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.001,0.024,0.019,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 32.2,0.000,0.000,0.000,0.000,0.000,0.001,0.026,0.021,0.013,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.001,0.030,0.023,0.014,0.009,0.005,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 34.6,0.000,0.000,0.000,0.000,0.000,0.002,0.033,0.026,0.015,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 35.9,0.000,0.000,0.000,0.000,0.000,0.002,0.037,0.029,0.017,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 37.2,0.000,0.000,0.000,0.000,0.000,0.002,0.040,0.032,0.019,0.012,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 38.5,0.000,0.000,0.000,0.000,0.000,0.002,0.047,0.036,0.021,0.013,0.008,0.005,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 40.0,0.000,0.000,0.000,0.000,0.000,0.004,0.051,0.040,0.024,0.015,0.009,0.006,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 41.4,0.000,0.000,0.000,0.000,0.000,0.004,0.056,0.044,0.026,0.016,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 42.9,0.000,0.000,0.000,0.000,0.000,0.007,0.063,0.048,0.030,0.018,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 44.5,0.000,0.000,0.000,0.000,0.000,0.008,0.069,0.055,0.032,0.020,0.012,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 46.1,0.000,0.000,0.000,0.000,0.000,0.010,0.077,0.060,0.036,0.022,0.014,0.009,0.006,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 47.8,0.000,0.000,0.000,0.000,0.000,0.012,0.086,0.066,0.039,0.024,0.015,0.010,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 49.6,0.000,0.000,0.000,0.000,0.000,0.015,0.097,0.073,0.043,0.026,0.017,0.011,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 51.4,0.000,0.000,0.000,0.000,0.000,0.018,0.106,0.080,0.049,0.029,0.019,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 53.3,0.000,0.000,0.000,0.000,0.000,0.020,0.114,0.087,0.051,0.031,0.020,0.013,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 55.2,0.000,0.000,0.000,0.000,0.000,0.023,0.130,0.095,0.057,0.035,0.022,0.014,0.009,0.006,0.004,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 57.3,0.000,0.000,0.000,0.000,0.000,0.026,0.140,0.105,0.063,0.040,0.024,0.016,0.009,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 59.4,0.000,0.000,0.000,0.000,0.000,0.029,0.152,0.116,0.069,0.042,0.026,0.017,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 61.5,0.000,0.000,0.000,0.000,0.000,0.031,0.167,0.129,0.077,0.046,0.029,0.017,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 63.8,0.000,0.000,0.000,0.000,0.000,0.033,0.181,0.142,0.083,0.052,0.032,0.020,0.012,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 66.1,0.000,0.000,0.000,0.000,0.000,0.039,0.203,0.153,0.092,0.059,0.034,0.022,0.014,0.009,0.006,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 68.5,0.000,0.000,0.000,0.000,0.000,0.044,0.218,0.169,0.098,0.062,0.037,0.024,0.015,0.009,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 71.0,0.001,0.000,0.000,0.000,0.000,0.048,0.242,0.180,0.106,0.064,0.039,0.025,0.016,0.011,0.006,0.004,0.003,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 73.7,0.001,0.000,0.000,0.000,0.000,0.059,0.259,0.194,0.116,0.069,0.043,0.026,0.016,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 76.4,0.001,0.000,0.000,0.000,0.000,0.068,0.285,0.205,0.126,0.078,0.048,0.028,0.019,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000
 79.1,0.001,0.001,0.000,0.000,0.000,0.079,0.305,0.230,0.139,0.084,0.050,0.032,0.019,0.012,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 82.0,0.001,0.001,0.000,0.000,0.000,0.086,0.341,0.249,0.149,0.086,0.057,0.033,0.020,0.013,0.008,0.005,0.003,0.003,0.002,0.001,0.001,0.000,0.001,0.001,0.001,0.000
 85.1,0.001,0.000,0.001,0.000,0.000,0.101,0.368,0.273,0.159,0.097,0.061,0.037,0.023,0.014,0.010,0.006,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.001
 88.2,0.001,0.001,0.000,0.000,0.000,0.106,0.401,0.287,0.175,0.106,0.065,0.040,0.024,0.016,0.010,0.006,0.004,0.002,0.003,0.001,0.001,0.001,0.000,0.001,0.001,0.001
 91.4,0.002,0.001,0.001,0.000,0.000,0.121,0.441,0.308,0.184,0.115,0.072,0.042,0.024,0.015,0.009,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.001,0.000
 94.7,0.001,0.001,0.001,0.000,0.000,0.136,0.463,0.334,0.196,0.126,0.071,0.046,0.030,0.017,0.010,0.008,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.000
 98.2,0.001,0.001,0.001,0.000,0.000,0.144,0.506,0.371,0.203,0.129,0.080,0.051,0.032,0.020,0.012,0.007,0.005,0.003,0.002,0.001,0.001,0.000,0.001,0.001,0.001,0.000
101.8,0.002,0.001,0.000,0.000,0.000,0.161,0.564,0.400,0.231,0.147,0.083,0.053,0.032,0.020,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000
105.5,0.002,0.001,0.000,0.000,0.000,0.176,0.600,0.428,0.256,0.157,0.093,0.057,0.035,0.022,0.014,0.009,0.005,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.000
109.4,0.002,0.001,0.000,0.001,0.000,0.186,0.674,0.456,0.276,0.171,0.102,0.061,0.037,0.024,0.016,0.010,0.005,0.005,0.003,0.002,0.002,0.001,0.000,0.001,0.000,0.001
113.4,0.002,0.001,0.001,0.000,0.000,0.186,0.704,0.504,0.292,0.173,0.107,0.068,0.041,0.026,0.016,0.009,0.006,0.005,0.002,0.002,0.002,0.002,0.001,0.001,0.000,0.001
117.6,0.002,0.001,0.001,0.001,0.000,0.197,0.765,0.534,0.305,0.196,0.117,0.071,0.046,0.029,0.017,0.011,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.000,0.001,0.001
121.9,0.002,0.001,0.001,0.000,0.000,0.206,0.823,0.578,0.326,0.221,0.118,0.075,0.049,0.028,0.018,0.012,0.008,0.005,0.003,0.002,0.002,0.001,0.000,0.001,0.001,0.001
126.3,0.003,0.001,0.001,0.000,0.001,0.223,0.891,0.608,0.370,0.228,0.132,0.079,0.047,0.032,0.019,0.014,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001
131.0,0.002,0.002,0.001,0.001,0.000,0.257,0.966,0.669,0.394,0.235,0.138,0.081,0.050,0.033,0.018,0.012,0.009,0.005,0.005,0.002,0.002,0.002,0.001,0.001,0.001,0.001
135.8,0.002,0.002,0.001,0.001,0.001,0.265,1.019,0.731,0.436,0.259,0.152,0.091,0.061,0.037,0.025,0.014,0.009,0.006,0.005,0.001,0.003,0.001,0.001,0.001,0.001,0.001
140.7,0.004,0.002,0.000,0.001,0.001,0.310,1.123,0.774,0.468,0.276,0.168,0.097,0.062,0.040,0.026,0.013,0.009,0.009,0.004,0.003,0.002,0.003,0.001,0.001,0.001,0.001
