Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220712\VL_CU_APS_CADR_oreck_SCAN3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22
Start Time,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:01,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
1.286,6.48601e-007,0,0,0,3.24301e-007,0.00922668,0.0236603,0.0160282,0.00914268,0.00528707,0.00307534,0.00177328,0.00104036,0.000576282,0.000335327,0.000195553,0.000110587,6.51844e-005,4.54021e-005,2.49712e-005,1.36206e-005,1.03776e-005,7.78322e-006,4.21591e-006,1.9458e-006,1.2972e-006,9.72902e-007
1.382,0,0,4.02437e-007,0,4.02437e-007,0.0108771,0.0273343,0.018129,0.0102742,0.00585827,0.00341226,0.00200293,0.00111032,0.000606875,0.000350925,0.000195182,0.000111877,6.84143e-005,3.5012e-005,2.45487e-005,1.20731e-005,8.45118e-006,6.03655e-006,4.02437e-006,2.81706e-006,1.20731e-006,4.02437e-007
1.486,0,0,0,9.98798e-007,4.99399e-007,0.0127302,0.0314022,0.0204829,0.011646,0.00656959,0.00369655,0.00217338,0.00123202,0.000700157,0.000405512,0.00022423,0.000131841,7.44105e-005,3.84537e-005,2.64681e-005,1.79784e-005,7.49099e-006,3.49579e-006,5.99279e-006,5.99279e-006,9.98798e-007,9.98798e-007
1.596,3.09862e-006,6.19723e-007,6.19723e-007,0,0,0.0152991,0.0373396,0.0235346,0.0130198,0.00742862,0.00406352,0.00237106,0.00128717,0.000752344,0.000436285,0.000260284,0.0001351,9.41979e-005,5.1437e-005,2.9127e-005,2.04509e-005,1.17747e-005,8.0564e-006,3.71834e-006,1.85917e-006,1.23945e-006,0
1.715,1.53808e-006,0,7.69038e-007,7.69038e-007,0,0.0178101,0.0423832,0.0264295,0.0145579,0.00810951,0.00451733,0.00261857,0.00146732,0.000865168,0.000454501,0.000264549,0.000164574,9.53607e-005,4.84494e-005,3.15306e-005,1.84569e-005,9.99749e-006,9.22846e-006,4.61423e-006,3.84519e-006,4.61423e-006,1.53808e-006
1.843,0,0,0,0,2.86298e-006,0.0187172,0.0447924,0.0276412,0.0151223,0.00857082,0.00473729,0.00262249,0.00152406,0.000869393,0.000458078,0.000271029,0.00014983,8.77982e-005,6.6803e-005,3.24472e-005,1.04976e-005,1.24063e-005,6.6803e-006,4.77164e-006,3.81731e-006,1.90866e-006,9.54328e-007
1.981,0,0,0,0,1.18426e-006,0.0189991,0.046564,0.0300056,0.016453,0.00927632,0.0051172,0.00275578,0.00165086,0.000888196,0.000515154,0.000249879,0.000183561,0.000113689,5.80288e-005,3.07908e-005,1.89482e-005,1.06584e-005,3.55279e-006,4.73705e-006,3.55279e-006,2.36852e-006,2.36852e-006
2.129,0,0,0,0,4.40879e-006,0.0203554,0.0501911,0.0321136,0.0175293,0.0097684,0.00531406,0.00313171,0.00173118,0.000996386,0.000556977,0.000260118,0.000179291,8.52365e-005,5.4375e-005,2.49831e-005,1.32264e-005,1.02872e-005,2.93919e-006,4.40879e-006,0,0,1.4696e-006
2.288,0,0,0,0,1.82368e-006,0.0230148,0.0538513,0.0318724,0.0165936,0.00945576,0.00512271,0.00288141,0.0015793,0.000844362,0.000525219,0.000229783,0.000162307,8.57128e-005,5.83576e-005,3.10025e-005,7.2947e-006,7.2947e-006,5.47103e-006,1.82368e-006,0,0,1.82368e-006
2.458,2.26307e-006,0,0,0,2.26307e-006,0.0268943,0.0582763,0.0324071,0.016792,0.00916317,0.00506701,0.00269079,0.00143252,0.000783022,0.000411879,0.000239885,9.05228e-005,6.5629e-005,3.1683e-005,1.35784e-005,6.78921e-006,1.13153e-005,4.52614e-006,0,4.52614e-006,2.26307e-006,2.26307e-006
2.642,0,0,0,0,1.12333e-005,0.0258478,0.0564193,0.0304198,0.0155722,0.00855697,0.00445682,0.00233653,0.00120758,0.000581324,0.000297683,0.0001685,9.26748e-005,8.14415e-005,3.65083e-005,1.685e-005,2.80833e-006,5.61665e-006,2.80833e-006,0,0,0,0
2.839,0,0,0,0,0,0.021192,0.0493296,0.0287021,0.0139259,0.00775055,0.00395543,0.00197946,0.000965334,0.000453045,0.000233492,0.000146368,8.3639e-005,5.22744e-005,1.74248e-005,0,1.39398e-005,6.96992e-006,3.48496e-006,0,0,0,0
3.051,0,0,0,0,4.32462e-006,0.023474,0.052116,0.0291868,0.0145394,0.00769782,0.00361538,0.00152659,0.000743834,0.000307048,0.000190283,6.05447e-005,3.02723e-005,1.72985e-005,1.29739e-005,0,8.64924e-006,0,0,0,0,0,0
3.278,0,0,0,5.36658e-006,0,0.0283302,0.057519,0.0282604,0.0130676,0.00660626,0.00289795,0.00126651,0.000579591,0.000279062,9.65985e-005,5.36658e-005,1.60997e-005,0,5.36658e-006,5.36658e-006,0,0,0,0,0,0,0
3.523,0,0,0,0,0,0.0281501,0.0520447,0.0244873,0.0117009,0.00599363,0.00275707,0.00115877,0.000446193,0.00015983,0.000119873,3.99576e-005,2.66384e-005,0,0,0,6.65959e-006,0,0,6.65959e-006,0,0,0
3.786,0,0,0,0,0,0.0231479,0.0466676,0.0225528,0.0103467,0.00498328,0.00233049,0.00104955,0.000471056,0.000190075,7.43773e-005,3.30566e-005,8.26414e-006,8.26414e-006,8.26414e-006,8.26414e-006,0,0,0,0,0,0,0
4.068,0,1.02553e-005,0,0,0,0.0206644,0.0409801,0.0207362,0.00871699,0.00352782,0.00182544,0.000553786,0.00019485,0.000123063,3.07659e-005,3.07659e-005,0,1.02553e-005,0,0,0,0,0,0,0,0,0
4.371,1.27262e-005,0,0,0,0,0.0236198,0.0443507,0.0177021,0.00668124,0.00273613,0.000878106,0.000356333,7.6357e-005,5.09047e-005,1.27262e-005,0,1.27262e-005,0,0,0,0,0,0,0,0,0,0
4.698,0,0,0,0,0,0.0225042,0.0408391,0.0147185,0.0049746,0.00180033,0.000615903,0.000252678,4.73772e-005,3.15848e-005,0,0,0,0,0,0,0,0,0,0,0,0,0
5.048,0,0,0,0,0,0.0196366,0.0329628,0.0138945,0.00376269,0.00123463,0.000293961,0.000156779,7.83895e-005,1.95974e-005,0,0,0,0,0,0,0,0,0,0,0,0,0
5.425,0,0,0,0,0,0.019431,0.0318824,0.0107247,0.00333172,0.000875488,0.000316148,0.000243191,2.43191e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.829,0,0,0,0,0,0.0187409,0.0290619,0.00742391,0.00226339,0.000452678,0.000301785,3.01785e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.264,0,0,0,0,0,0.0157663,0.0223574,0.00629154,0.00112349,0.000486845,0.000149799,3.74496e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.732,0,0,0,4.64727e-005,0,0.0129194,0.0210521,0.00539083,0.00130124,0.000185891,0.000185891,0,4.64727e-005,4.64727e-005,0,0,0,0,0,0,0,0,0,0,0,0,0
7.234,0,0,0,0,0,0.0131487,0.0185696,0.00461358,0.000749706,0.000346018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.774,0,0,0,0,0,0.00958965,0.0123091,0.00386448,0.00078721,0.000357823,0,7.15645e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.354,0,0,0,0,0,0.0100352,0.0111009,0.00301944,0.000444036,8.88071e-005,8.88071e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.977,0,0,0,0,0,0.00429796,0.00727347,0.00143265,0.000440816,0.000110204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.647,0,0,0,0,0,0.00341891,0.00574377,0.000820539,0.000273513,0.000136756,0.000136756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.37,0,0,0,0,0,0.00288501,0.0027153,0.000848531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.14,0,0,0,0,0,0.00168476,0.00210595,0.00042119,0.000210595,0.000210595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.97,0,0,0,0,0,0.00182935,0.00261335,0.00052267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.86,0,0,0,0,0,0.000972902,0.0019458,0.000324301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.82,0,0,0,0,0,0.00120731,0.00160975,0.000804874,0,0.000402437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.86,0,0,0,0,0,0.000499399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0.000619723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.43,0,0,0,0,0,0.000954328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Event 1,544,256,146,88,73,173235,441393,302693,178904,104620,61516,37082,22109,13342,8073,4761,3024,1894,1189,783,490,329,261,188,149,114,98
Event 3,0,0,0,0,0,28542,118287,51574,17079,5461,1787,671,207,75,25,7,3,2,0,1,0,0,0,0,0,0,0
Event 4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Time,2,1,0,0,0,4226,10583,6861,3900,2213,1275,749,435,255,150,89,53,33,20,12,7,4,3,2,1,1,0
Inlet Pressure,831.7,830.8,830.5,829.3,829.9,829.6,829.6,829.6,829.1,829.1,828.8,828.8,829.9,829.6,829.9,829.9,829.6,829.6,829.3,829.6,829.6,830.2,828.8,829.3,829.3,829.3,829.9
Total Flow,4.96,4.97,4.96,4.96,4.96,4.96,4.97,4.97,4.96,4.96,4.97,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.97,4.96,4.97,4.97,4.96
Sheath Flow,3.99,4,3.95,3.98,3.95,3.97,3.97,4,3.97,3.98,3.98,3.95,3.95,3.97,3.95,3.97,3.99,3.99,3.96,3.99,3.95,3.96,4,3.99,3.99,4,3.97
Analog Input Voltage 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analog Input Voltage 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laser Power,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
